Comunidad autónoma;Periodo;Total
Total Nacional;2024;14,2
Total Nacional;2023;13,6
Total Nacional;2022;13,2
Total Nacional;2021;14,4
Total Nacional;2020;13,5
Total Nacional;2019;8,3
Total Nacional;2018;9,4
Total Nacional;2017;9,3
Total Nacional;2016;10,6
Total Nacional;2015;11,7
Total Nacional;2014;12,5
Total Nacional;2013;11,9
Total Nacional;2012;10,9
Total Nacional;2011;8,7
Total Nacional;2010;11,7
Total Nacional;2009;11
Total Nacional;2008;8,2
Total Nacional;2007;7,6
Total Nacional;2006;7,1
Total Nacional;2005;7,1
Total Nacional;2004;8,2
01 Andalucía;2024;16
01 Andalucía;2023;15,6
01 Andalucía;2022;16,3
01 Andalucía;2021;17
01 Andalucía;2020;19
01 Andalucía;2019;11,3
01 Andalucía;2018;15,7
01 Andalucía;2017;11,2
01 Andalucía;2016;13,2
01 Andalucía;2015;13,8
01 Andalucía;2014;15,8
01 Andalucía;2013;13,4
01 Andalucía;2012;15,5
01 Andalucía;2011;13,8
01 Andalucía;2010;12,9
01 Andalucía;2009;10,6
01 Andalucía;2008;7,6
01 Andalucía;2007;10,1
01 Andalucía;2006;8,7
01 Andalucía;2005;7,3
01 Andalucía;2004;12,6
02 Aragón;2024;12,8
02 Aragón;2023;11,9
02 Aragón;2022;8,8
02 Aragón;2021;12,4
02 Aragón;2020;5,4
02 Aragón;2019;3,8
02 Aragón;2018;3,9
02 Aragón;2017;3,7
02 Aragón;2016;8,2
02 Aragón;2015;8,1
02 Aragón;2014;11,1
02 Aragón;2013;11,6
02 Aragón;2012;4,1
02 Aragón;2011;5,5
02 Aragón;2010;5,5
02 Aragón;2009;3,4
02 Aragón;2008;3,4
02 Aragón;2007;5,7
02 Aragón;2006;3,9
02 Aragón;2005;3,2
02 Aragón;2004;4,4
03 Asturias, Principado de;2024;8
03 Asturias, Principado de;2023;9
03 Asturias, Principado de;2022;7,6
03 Asturias, Principado de;2021;10
03 Asturias, Principado de;2020;11,7
03 Asturias, Principado de;2019;4,8
03 Asturias, Principado de;2018;4,5
03 Asturias, Principado de;2017;5,8
03 Asturias, Principado de;2016;5,3
03 Asturias, Principado de;2015;6,5
03 Asturias, Principado de;2014;8,4
03 Asturias, Principado de;2013;7,5
03 Asturias, Principado de;2012;5,1
03 Asturias, Principado de;2011;2,6
03 Asturias, Principado de;2010;3,3
03 Asturias, Principado de;2009;5,3
03 Asturias, Principado de;2008;3,5
03 Asturias, Principado de;2007;5,5
03 Asturias, Principado de;2006;2,8
03 Asturias, Principado de;2005;1,7
03 Asturias, Principado de;2004;4,7
04 Balears, Illes;2024;15,3
04 Balears, Illes;2023;15,8
04 Balears, Illes;2022;20,5
04 Balears, Illes;2021;20,3
04 Balears, Illes;2020;13,1
04 Balears, Illes;2019;14
04 Balears, Illes;2018;10,2
04 Balears, Illes;2017;15,4
04 Balears, Illes;2016;12,6
04 Balears, Illes;2015;21,7
04 Balears, Illes;2014;21,3
04 Balears, Illes;2013;19,4
04 Balears, Illes;2012;17,7
04 Balears, Illes;2011;17,4
04 Balears, Illes;2010;13,7
04 Balears, Illes;2009;18,6
04 Balears, Illes;2008;8,5
04 Balears, Illes;2007;10,2
04 Balears, Illes;2006;12,3
04 Balears, Illes;2005;12,7
04 Balears, Illes;2004;8,4
05 Canarias;2024;17,7
05 Canarias;2023;21,3
05 Canarias;2022;20
05 Canarias;2021;26,2
05 Canarias;2020;23
05 Canarias;2019;9,9
05 Canarias;2018;11,9
05 Canarias;2017;21,1
05 Canarias;2016;16,7
05 Canarias;2015;18,9
05 Canarias;2014;16,8
05 Canarias;2013;20
05 Canarias;2012;10,2
05 Canarias;2011;12
05 Canarias;2010;15,1
05 Canarias;2009;20,8
05 Canarias;2008;11
05 Canarias;2007;12
05 Canarias;2006;8,4
05 Canarias;2005;10,7
05 Canarias;2004;11,1
06 Cantabria;2024;8,5
06 Cantabria;2023;7,2
06 Cantabria;2022;5,3
06 Cantabria;2021;9
06 Cantabria;2020;6,8
06 Cantabria;2019;3,1
