Comunidad autónoma;Periodo;Total
Total Nacional;2024;18,7
Total Nacional;2023;20,1
Total Nacional;2022;20,5
Total Nacional;2021;22,8
Total Nacional;2020;21,8
Total Nacional;2019;24,9
Total Nacional;2018;25,5
Total Nacional;2017;26,5
Total Nacional;2016;29,2
Total Nacional;2015;29,9
Total Nacional;2014;30,9
Total Nacional;2013;28,1
Total Nacional;2012;25,9
Total Nacional;2011;23,7
Total Nacional;2010;20,6
Total Nacional;2009;19,7
Total Nacional;2008;19,8
01 Andalucía;2024;27,9
01 Andalucía;2023;30,4
01 Andalucía;2022;29,1
01 Andalucía;2021;33,6
01 Andalucía;2020;29,3
01 Andalucía;2019;37,3
01 Andalucía;2018;38,3
01 Andalucía;2017;38,1
01 Andalucía;2016;43,6
01 Andalucía;2015;45,4
01 Andalucía;2014;45,6
01 Andalucía;2013;40,1
01 Andalucía;2012;35,6
01 Andalucía;2011;34,5
01 Andalucía;2010;28,1
01 Andalucía;2009;27,7
01 Andalucía;2008;27,3
02 Aragón;2024;14,1
02 Aragón;2023;15,1
02 Aragón;2022;15
02 Aragón;2021;16,2
02 Aragón;2020;16,3
02 Aragón;2019;19,4
02 Aragón;2018;18,2
02 Aragón;2017;16,1
02 Aragón;2016;22,5
02 Aragón;2015;20,3
02 Aragón;2014;23,2
02 Aragón;2013;20
02 Aragón;2012;17,7
02 Aragón;2011;17,1
02 Aragón;2010;13,1
02 Aragón;2009;10,4
02 Aragón;2008;14,9
03 Asturias, Principado de;2024;14,9
03 Asturias, Principado de;2023;18,6
03 Asturias, Principado de;2022;20,1
03 Asturias, Principado de;2021;21,4
03 Asturias, Principado de;2020;22,5
03 Asturias, Principado de;2019;24,4
03 Asturias, Principado de;2018;17,4
03 Asturias, Principado de;2017;16,6
03 Asturias, Principado de;2016;19,8
03 Asturias, Principado de;2015;22,9
03 Asturias, Principado de;2014;26,9
03 Asturias, Principado de;2013;21,7
03 Asturias, Principado de;2012;19,1
03 Asturias, Principado de;2011;17,4
03 Asturias, Principado de;2010;11,4
03 Asturias, Principado de;2009;12,9
03 Asturias, Principado de;2008;13,2
04 Balears, Illes;2024;11,2
04 Balears, Illes;2023;15,3
04 Balears, Illes;2022;17
04 Balears, Illes;2021;19,4
04 Balears, Illes;2020;14,6
04 Balears, Illes;2019;16,7
04 Balears, Illes;2018;17,7
04 Balears, Illes;2017;26,1
04 Balears, Illes;2016;20,8
04 Balears, Illes;2015;28,6
04 Balears, Illes;2014;26,5
04 Balears, Illes;2013;26,4
04 Balears, Illes;2012;24,1
04 Balears, Illes;2011;23,5
04 Balears, Illes;2010;22,5
04 Balears, Illes;2009;18,1
04 Balears, Illes;2008;18,1
05 Canarias;2024;23,6
05 Canarias;2023;25,9
05 Canarias;2022;29,5
05 Canarias;2021;30,2
05 Canarias;2020;30,9
05 Canarias;2019;33,4
05 Canarias;2018;35,7
05 Canarias;2017;34,3
05 Canarias;2016;43,1
05 Canarias;2015;37,8
05 Canarias;2014;38,4
05 Canarias;2013;35,8
05 Canarias;2012;38,8
05 Canarias;2011;34
05 Canarias;2010;29,7
05 Canarias;2009;29,2
05 Canarias;2008;30,7
06 Cantabria;2024;15,7
06 Cantabria;2023;15,2
06 Cantabria;2022;14,8
06 Cantabria;2021;16,6
06 Cantabria;2020;18,1
06 Cantabria;2019;20,5
06 Cantabria;2018;21,9
06 Cantabria;2017;21,1
06 Cantabria;2016;23,4
06 Cantabria;2015;22
06 Cantabria;2014;29,6
06 Cantabria;2013;26,3
06 Cantabria;2012;23,4
06 Cantabria;2011;19,3
06 Cantabria;2010;19,7
06 Cantabria;2009;13,4
06 Cantabria;2008;14,3
07 Castilla y León;2024;17,5
07 Castilla y León;2023;18
07 Castilla y León;2022;17,8
07 Castilla y León;2021;19,6
07 Castilla y León;2020;15,6
07 Castilla y León;2019;17
07 Castilla y León;2018;20,1
07 Castilla y León;2017;22,3
07 Castilla y León;2016;26,7
07 Castilla y León;2015;25,8
07 Castilla y León;2014;29,6
07 Castilla y León;2013;24,2
07 Castilla y León;2012;20,9
07 Castilla y León;2011;21,3
07 Castilla y León;2010;19
07 Castilla y León;2009;18,7
07 Castilla y León;2008;17,5
08 Castilla - La Mancha;2024;25,5
08 Castilla - La Mancha;2023;25,5
08 Castilla - La Mancha;2022;26,3
08 Castilla - La Mancha;2021;29
08 Castilla - La Mancha;2020;26,9
08 Castilla - La Mancha;2019;31,9
08 Castilla - La Mancha;2018;34,1
08 Castilla - La Mancha;2017;34,3
08 Castilla - La Mancha;2016;39,8
08 Castilla - La Mancha;2015;39,2
08 Castilla - La Mancha;2014;39,4
08 Castilla - La Mancha;2013;41,5
08 Castilla - La Mancha;2012;37,2
08 Castilla - La Mancha;2011;33,5
08 Castilla - La Mancha;2010;28,1
08 Castilla - La Mancha;2009;24,1
08 Castilla - La Mancha;2008;26,4
09 Cataluña;2024;12,2
09 Cataluña;2023;13,8
09 Cataluña;2022;14,5
09 Cataluña;2021;15,4
09 Cataluña;2020;17,2
09 Cataluña;2019;16,1
09 Cataluña;2018;16,7
09 Cataluña;2017;18,6
09 Cataluña;2016;16,7
09 Cataluña;2015;18,5
09 Cataluña;2014;20,5
09 Cataluña;2013;19,4
09 Cataluña;2012;19,8
09 Cataluña;2011;16,5
09 Cataluña;2010;14,7
09 Cataluña;2009;14,6
09 Cataluña;2008;12,3
10 Comunitat Valenciana;2024;23,6
10 Comunitat Valenciana;2023;24,1
10 Comunitat Valenciana;2022;22,3
10 Comunitat Valenciana;2021;26,9
10 Comunitat Valenciana;2020;25,7
10 Comunitat Valenciana;2019;28,5
10 Comunitat Valenciana;2018;30,9
10 Comunitat Valenciana;2017;31,9
10 Comunitat Valenciana;2016;34,8
10 Comunitat Valenciana;2015;36,5
10 Comunitat Valenciana;2014;36
10 Comunitat Valenciana;2013;33,1
10 Comunitat Valenciana;2012;29,7
10 Comunitat Valenciana;2011;26
10 Comunitat Valenciana;2010;22,4
10 Comunitat Valenciana;2009;20,4
10 Comunitat Valenciana;2008;23,6
11 Extremadura;2024;26,7
11 Extremadura;2023;27
11 Extremadura;2022;30,2
11 Extremadura;2021;33,4
11 Extremadura;2020;33,9
11 Extremadura;2019;39,6
11 Extremadura;2018;45,7
11 Extremadura;2017;46,8
11 Extremadura;2016;42,2
11 Extremadura;2015;44,8
11 Extremadura;2014;46,8
11 Extremadura;2013;43,4
11 Extremadura;2012;38,9
11 Extremadura;2011;36,6
11 Extremadura;2010;35,3
11 Extremadura;2009;29,7
11 Extremadura;2008;35,3
12 Galicia;2024;13,8
12 Galicia;2023;19,2
12 Galicia;2022;18,1
12 Galicia;2021;21,8
12 Galicia;2020;22,5
12 Galicia;2019;24,3
12 Galicia;2018;22,6
12 Galicia;2017;22,5
12 Galicia;2016;26,1
12 Galicia;2015;27
12 Galicia;2014;26,7
12 Galicia;2013;24,5
12 Galicia;2012;23,6
12 Galicia;2011;19,2
12 Galicia;2010;18
12 Galicia;2009;19,2
12 Galicia;2008;20,9
13 Madrid, Comunidad de;2024;13,5
13 Madrid, Comunidad de;2023;12,7
13 Madrid, Comunidad de;2022;14,8
13 Madrid, Comunidad de;2021;16
13 Madrid, Comunidad de;2020;16,2
13 Madrid, Comunidad de;2019;18,4
13 Madrid, Comunidad de;2018;18,5
13 Madrid, Comunidad de;2017;20,3
13 Madrid, Comunidad de;2016;22,4
13 Madrid, Comunidad de;2015;20,6
13 Madrid, Comunidad de;2014;21,1
13 Madrid, Comunidad de;2013;19,8
13 Madrid, Comunidad de;2012;17,3
13 Madrid, Comunidad de;2011;15,4
13 Madrid, Comunidad de;2010;14,3
13 Madrid, Comunidad de;2009;15,4
13 Madrid, Comunidad de;2008;14,9
14 Murcia, Región de;2024;24,4
14 Murcia, Región de;2023;24
14 Murcia, Región de;2022;26,3
14 Murcia, Región de;2021;28,7
14 Murcia, Región de;2020;26,5
14 Murcia, Región de;2019;35,1
14 Murcia, Región de;2018;33
14 Murcia, Región de;2017;35,5
14 Murcia, Región de;2016;40,1
14 Murcia, Región de;2015;44,7
14 Murcia, Región de;2014;46,4
14 Murcia, Región de;2013;36,5
14 Murcia, Región de;2012;30,5
14 Murcia, Región de;2011;31,3
14 Murcia, Región de;2010;29,6
14 Murcia, Región de;2009;28
14 Murcia, Región de;2008;24,5
15 Navarra, Comunidad Foral de;2024;13,3
15 Navarra, Comunidad Foral de;2023;13,8
15 Navarra, Comunidad Foral de;2022;10,9
15 Navarra, Comunidad Foral de;2021;10,1
15 Navarra, Comunidad Foral de;2020;10,2
15 Navarra, Comunidad Foral de;2019;8
15 Navarra, Comunidad Foral de;2018;10,2
15 Navarra, Comunidad Foral de;2017;10,6
15 Navarra, Comunidad Foral de;2016;12,1
15 Navarra, Comunidad Foral de;2015;12
15 Navarra, Comunidad Foral de;2014;16,2
15 Navarra, Comunidad Foral de;2013;12,6
15 Navarra, Comunidad Foral de;2012;13,5
15 Navarra, Comunidad Foral de;2011;9,5
15 Navarra, Comunidad Foral de;2010;10,6
15 Navarra, Comunidad Foral de;2009;7,3
15 Navarra, Comunidad Foral de;2008;5,9
16 País Vasco;2024;9,2
16 País Vasco;2023;10,1
16 País Vasco;2022;12,2
16 País Vasco;2021;12,6
16 País Vasco;2020;10,2
16 País Vasco;2019;11,9
16 País Vasco;2018;10,2
16 País Vasco;2017;12
16 País Vasco;2016;12,9
16 País Vasco;2015;13,8
16 País Vasco;2014;13,5
16 País Vasco;2013;13,2
16 País Vasco;2012;15,9
16 País Vasco;2011;15,6
16 País Vasco;2010;11,7
16 País Vasco;2009;9,8
16 País Vasco;2008;9,1
17 Rioja, La;2024;18,8
17 Rioja, La;2023;16,8
17 Rioja, La;2022;16,6
17 Rioja, La;2021;16,8
17 Rioja, La;2020;16,9
17 Rioja, La;2019;17,5
17 Rioja, La;2018;19,1
17 Rioja, La;2017;15,9
17 Rioja, La;2016;16,6
17 Rioja, La;2015;23,3
17 Rioja, La;2014;25,1
17 Rioja, La;2013;24
17 Rioja, La;2012;21
17 Rioja, La;2011;22,7
17 Rioja, La;2010;21,2
17 Rioja, La;2009;16,6
17 Rioja, La;2008;16,2
18 Ceuta;2024;33,3
18 Ceuta;2023;35,9
18 Ceuta;2022;34,8
18 Ceuta;2021;35,7
18 Ceuta;2020;36,3
18 Ceuta;2019;44
18 Ceuta;2018;46,3
18 Ceuta;2017;35,6
18 Ceuta;2016;39,4
18 Ceuta;2015;37,6
18 Ceuta;2014;50,4
18 Ceuta;2013;43,5
18 Ceuta;2012;32,6
18 Ceuta;2011;27,4
18 Ceuta;2010;31,3
18 Ceuta;2009;36,4
18 Ceuta;2008;40,1
19 Melilla;2024;36,4
19 Melilla;2023;30,8
19 Melilla;2022;34,5
19 Melilla;2021;32,2
19 Melilla;2020;38,2
19 Melilla;2019;37
19 Melilla;2018;22,4
19 Melilla;2017;28,3
19 Melilla;2016;24,6
19 Melilla;2015;29,8
19 Melilla;2014;24,9
19 Melilla;2013;33,3
19 Melilla;2012;12
19 Melilla;2011;27,2
19 Melilla;2010;25,8
19 Melilla;2009;30
19 Melilla;2008;17,7
