Comunidad autónoma;Periodo;Total
Total Nacional;2024;9,1
Total Nacional;2023;7,6
Total Nacional;2022;6,6
Total Nacional;2021;6,4
Total Nacional;2020;7,6
Total Nacional;2019;5,9
Total Nacional;2018;4,7
Total Nacional;2017;5,1
Total Nacional;2016;5,4
Total Nacional;2015;5,5
Total Nacional;2014;5,3
Total Nacional;2013;5,2
Total Nacional;2012;5,6
Total Nacional;2011;6,6
Total Nacional;2010;5
Total Nacional;2009;5,2
Total Nacional;2008;5,6
Total Nacional;2007;5,8
Total Nacional;2006;6,5
Total Nacional;2005;8,4
Total Nacional;2004;14,2
01 Andalucía;2024;8,4
01 Andalucía;2023;8,1
01 Andalucía;2022;7,6
01 Andalucía;2021;6,9
01 Andalucía;2020;8,1
01 Andalucía;2019;8,5
01 Andalucía;2018;6,4
01 Andalucía;2017;6,6
01 Andalucía;2016;6,9
01 Andalucía;2015;5,6
01 Andalucía;2014;7,1
01 Andalucía;2013;6,4
01 Andalucía;2012;6,6
01 Andalucía;2011;7,5
01 Andalucía;2010;4,6
01 Andalucía;2009;5,7
01 Andalucía;2008;6,8
01 Andalucía;2007;5,6
01 Andalucía;2006;6,5
01 Andalucía;2005;10,9
01 Andalucía;2004;18,6
02 Aragón;2024;6
02 Aragón;2023;4,3
02 Aragón;2022;3,1
02 Aragón;2021;6,1
02 Aragón;2020;4,8
02 Aragón;2019;6,1
02 Aragón;2018;4,7
02 Aragón;2017;1,9
02 Aragón;2016;1,5
02 Aragón;2015;1,2
02 Aragón;2014;1,8
02 Aragón;2013;3,9
02 Aragón;2012;1,4
02 Aragón;2011;2,7
02 Aragón;2010;1,9
02 Aragón;2009;4,1
02 Aragón;2008;3,1
02 Aragón;2007;4,7
02 Aragón;2006;6
02 Aragón;2005;5,5
02 Aragón;2004;9
03 Asturias, Principado de;2024;2,5
03 Asturias, Principado de;2023;2,1
03 Asturias, Principado de;2022;3,8
03 Asturias, Principado de;2021;2,9
03 Asturias, Principado de;2020;3,3
03 Asturias, Principado de;2019;3,8
03 Asturias, Principado de;2018;2,8
03 Asturias, Principado de;2017;1,7
03 Asturias, Principado de;2016;1,4
03 Asturias, Principado de;2015;1,2
03 Asturias, Principado de;2014;0,9
03 Asturias, Principado de;2013;1
03 Asturias, Principado de;2012;1,7
03 Asturias, Principado de;2011;1,8
03 Asturias, Principado de;2010;1,2
03 Asturias, Principado de;2009;1,7
03 Asturias, Principado de;2008;1,9
03 Asturias, Principado de;2007;1,9
03 Asturias, Principado de;2006;2,7
03 Asturias, Principado de;2005;2,3
03 Asturias, Principado de;2004;10,5
04 Balears, Illes;2024;13,6
04 Balears, Illes;2023;10,1
04 Balears, Illes;2022;9,3
04 Balears, Illes;2021;6,5
04 Balears, Illes;2020;9,7
04 Balears, Illes;2019;13,8
04 Balears, Illes;2018;7,9
04 Balears, Illes;2017;11,7
04 Balears, Illes;2016;10,5
04 Balears, Illes;2015;6,4
04 Balears, Illes;2014;10,4
04 Balears, Illes;2013;7,3
04 Balears, Illes;2012;6,5
04 Balears, Illes;2011;4,5
04 Balears, Illes;2010;4,8
04 Balears, Illes;2009;5,9
04 Balears, Illes;2008;3
04 Balears, Illes;2007;8,3
04 Balears, Illes;2006;10,2
04 Balears, Illes;2005;8,7
04 Balears, Illes;2004;11,7
05 Canarias;2024;21,1
05 Canarias;2023;18
05 Canarias;2022;16,2
05 Canarias;2021;17,6
05 Canarias;2020;14,3
05 Canarias;2019;12,8
05 Canarias;2018;6,2
05 Canarias;2017;6,8
05 Canarias;2016;14,7
05 Canarias;2015;14,9
05 Canarias;2014;12,1
05 Canarias;2013;11,5
05 Canarias;2012;13,7
05 Canarias;2011;11
05 Canarias;2010;11,6
05 Canarias;2009;9,6
05 Canarias;2008;9,3
05 Canarias;2007;10,2
05 Canarias;2006;12,9
05 Canarias;2005;14,3
05 Canarias;2004;26
06 Cantabria;2024;5,7
06 Cantabria;2023;4,1
06 Cantabria;2022;2,6
06 Cantabria;2021;3,4
06 Cantabria;2020;1,4
06 Cantabria;2019;1,4
06 Cantabria;2018;1,9
06 Cantabria;2017;2,7
06 Cantabria;2016;7,1
06 Cantabria;2015;3,1
06 Cantabria;2014;0,8
06 Cantabria;2013;4,1
06 Cantabria;2012;3,8
06 Cantabria;2011;1,1
06 Cantabria;2010;1,8
06 Cantabria;2009;2,7
06 Cantabria;2008;6,2
06 Cantabria;2007;6,2
06 Cantabria;2006;8,4
06 Cantabria;2005;7,6
06 Cantabria;2004;9,6
07 Castilla y León;2024;4,2
07 Castilla y León;2023;2,8
07 Castilla y León;2022;2,1
07 Castilla y León;2021;2,3
07 Castilla y León;2020;1,6
07 Castilla y León;2019;1
07 Castilla y León;2018;0,8
07 Castilla y León;2017;1,9
07 Castilla y León;2016;2,5
07 Castilla y León;2015;1,8
07 Castilla y León;2014;2,7
07 Castilla y León;2013;1
07 Castilla y León;2012;0,6
07 Castilla y León;2011;2,2
07 Castilla y León;2010;3,3
07 Castilla y León;2009;3,2
07 Castilla y León;2008;2,8
07 Castilla y León;2007;1,7
07 Castilla y León;2006;2,2
07 Castilla y León;2005;5,7
07 Castilla y León;2004;11,9
08 Castilla - La Mancha;2024;7,4
08 Castilla - La Mancha;2023;4,3
08 Castilla - La Mancha;2022;4,1
08 Castilla - La Mancha;2021;2,1
08 Castilla - La Mancha;2020;1,6
08 Castilla - La Mancha;2019;1,9
08 Castilla - La Mancha;2018;0,9
08 Castilla - La Mancha;2017;4
08 Castilla - La Mancha;2016;4,8
08 Castilla - La Mancha;2015;3,9
08 Castilla - La Mancha;2014;2,3
08 Castilla - La Mancha;2013;4,5
08 Castilla - La Mancha;2012;6,2
08 Castilla - La Mancha;2011;4,8
08 Castilla - La Mancha;2010;3,5
08 Castilla - La Mancha;2009;3,8
08 Castilla - La Mancha;2008;5,9
08 Castilla - La Mancha;2007;3,6
08 Castilla - La Mancha;2006;2,7
08 Castilla - La Mancha;2005;4,7
08 Castilla - La Mancha;2004;7
09 Cataluña;2024;11,9
09 Cataluña;2023;9,2
09 Cataluña;2022;9
09 Cataluña;2021;8,3
09 Cataluña;2020;11,9
09 Cataluña;2019;7,3
09 Cataluña;2018;5,2
09 Cataluña;2017;6,8
09 Cataluña;2016;5,3
09 Cataluña;2015;7,8
09 Cataluña;2014;7,5
09 Cataluña;2013;5,8
09 Cataluña;2012;8,2
09 Cataluña;2011;11,1
09 Cataluña;2010;6,6
09 Cataluña;2009;6,6
09 Cataluña;2008;7,5
09 Cataluña;2007;7,7
09 Cataluña;2006;7,6
09 Cataluña;2005;6,8
09 Cataluña;2004;10,5
10 Comunitat Valenciana;2024;7,9
10 Comunitat Valenciana;2023;6,9
10 Comunitat Valenciana;2022;3,8
10 Comunitat Valenciana;2021;4
10 Comunitat Valenciana;2020;2,9
10 Comunitat Valenciana;2019;4
10 Comunitat Valenciana;2018;4,2
10 Comunitat Valenciana;2017;4,7
10 Comunitat Valenciana;2016;5,6
10 Comunitat Valenciana;2015;4,6
10 Comunitat Valenciana;2014;2,8
10 Comunitat Valenciana;2013;4
10 Comunitat Valenciana;2012;3,9
10 Comunitat Valenciana;2011;4,6
10 Comunitat Valenciana;2010;3
10 Comunitat Valenciana;2009;3,7
10 Comunitat Valenciana;2008;3,1
10 Comunitat Valenciana;2007;3,3
10 Comunitat Valenciana;2006;4,8
10 Comunitat Valenciana;2005;6,9
10 Comunitat Valenciana;2004;10
11 Extremadura;2024;4,3
11 Extremadura;2023;2,2
11 Extremadura;2022;1,8
11 Extremadura;2021;2,3
11 Extremadura;2020;4,1
11 Extremadura;2019;1,6
11 Extremadura;2018;1,6
11 Extremadura;2017;2,8
11 Extremadura;2016;2,6
11 Extremadura;2015;4,2
11 Extremadura;2014;3,6
11 Extremadura;2013;1,5
11 Extremadura;2012;3,2
11 Extremadura;2011;2,8
11 Extremadura;2010;1,5
11 Extremadura;2009;3
11 Extremadura;2008;4,9
11 Extremadura;2007;4,3
11 Extremadura;2006;2,7
11 Extremadura;2005;7,7
11 Extremadura;2004;10,4
12 Galicia;2024;5,2
12 Galicia;2023;4,5
12 Galicia;2022;3,2
12 Galicia;2021;2,4
12 Galicia;2020;1,8
12 Galicia;2019;2
12 Galicia;2018;1,5
12 Galicia;2017;2,5
12 Galicia;2016;0,9
12 Galicia;2015;2,1
12 Galicia;2014;1,4
12 Galicia;2013;1,3
12 Galicia;2012;0,7
12 Galicia;2011;3,6
12 Galicia;2010;2,5
12 Galicia;2009;1,9
12 Galicia;2008;2,7
12 Galicia;2007;3,4
12 Galicia;2006;2,1
12 Galicia;2005;3,7
12 Galicia;2004;15,8
13 Madrid, Comunidad de;2024;10,5
13 Madrid, Comunidad de;2023;9,4
13 Madrid, Comunidad de;2022;8,5
13 Madrid, Comunidad de;2021;9
13 Madrid, Comunidad de;2020;11,9
13 Madrid, Comunidad de;2019;6,1
13 Madrid, Comunidad de;2018;6
13 Madrid, Comunidad de;2017;6,5
13 Madrid, Comunidad de;2016;6,2
13 Madrid, Comunidad de;2015;7,4
13 Madrid, Comunidad de;2014;6,5
13 Madrid, Comunidad de;2013;7,4
13 Madrid, Comunidad de;2012;7,4
13 Madrid, Comunidad de;2011;7,3
13 Madrid, Comunidad de;2010;8,5
13 Madrid, Comunidad de;2009;7,5
13 Madrid, Comunidad de;2008;7,1
13 Madrid, Comunidad de;2007;8,1
13 Madrid, Comunidad de;2006;9,9
