Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total Nacional;Ambos sexos;2025;44,55
Total Nacional;Ambos sexos;2024;44,37
Total Nacional;Ambos sexos;2023;44,18
Total Nacional;Ambos sexos;2022;44,06
Total Nacional;Ambos sexos;2021;43,79
Total Nacional;Ambos sexos;2020;43,57
Total Nacional;Ambos sexos;2019;43,37
Total Nacional;Ambos sexos;2018;43,17
Total Nacional;Ambos sexos;2017;42,95
Total Nacional;Ambos sexos;2016;42,7
Total Nacional;Ambos sexos;2015;42,45
Total Nacional;Ambos sexos;2014;42,15
Total Nacional;Ambos sexos;2013;41,82
Total Nacional;Ambos sexos;2012;41,54
Total Nacional;Ambos sexos;2011;41,27
Total Nacional;Ambos sexos;2010;41,01
Total Nacional;Ambos sexos;2009;40,78
Total Nacional;Ambos sexos;2008;40,64
Total Nacional;Ambos sexos;2007;40,57
Total Nacional;Ambos sexos;2006;40,46
Total Nacional;Ambos sexos;2005;40,34
Total Nacional;Ambos sexos;2004;40,21
Total Nacional;Ambos sexos;2003;40,11
Total Nacional;Ambos sexos;2002;40,01
Total Nacional;Ambos sexos;2001;39,78
Total Nacional;Ambos sexos;2000;39,51
Total Nacional;Ambos sexos;1999;39,23
Total Nacional;Ambos sexos;1998;38,94
Total Nacional;Ambos sexos;1997;38,64
Total Nacional;Ambos sexos;1996;38,33
Total Nacional;Ambos sexos;1995;38,02
Total Nacional;Ambos sexos;1994;37,71
Total Nacional;Ambos sexos;1993;37,43
Total Nacional;Ambos sexos;1992;37,14
Total Nacional;Ambos sexos;1991;36,86
Total Nacional;Ambos sexos;1990;36,52
Total Nacional;Ambos sexos;1989;36,19
Total Nacional;Ambos sexos;1988;35,87
Total Nacional;Ambos sexos;1987;35,54
Total Nacional;Ambos sexos;1986;35,24
Total Nacional;Ambos sexos;1985;34,95
Total Nacional;Ambos sexos;1984;34,66
Total Nacional;Ambos sexos;1983;34,39
Total Nacional;Ambos sexos;1982;34,13
Total Nacional;Ambos sexos;1981;33,9
Total Nacional;Ambos sexos;1980;33,68
Total Nacional;Ambos sexos;1979;33,48
Total Nacional;Ambos sexos;1978;33,33
Total Nacional;Ambos sexos;1977;33,2
Total Nacional;Ambos sexos;1976;33,1
Total Nacional;Ambos sexos;1975;33
Total Nacional;Hombres;2025;43,23
Total Nacional;Hombres;2024;43,06
Total Nacional;Hombres;2023;42,87
Total Nacional;Hombres;2022;42,75
Total Nacional;Hombres;2021;42,48
Total Nacional;Hombres;2020;42,26
Total Nacional;Hombres;2019;42,06
Total Nacional;Hombres;2018;41,86
Total Nacional;Hombres;2017;41,64
Total Nacional;Hombres;2016;41,39
Total Nacional;Hombres;2015;41,13
Total Nacional;Hombres;2014;40,84
Total Nacional;Hombres;2013;40,51
Total Nacional;Hombres;2012;40,22
Total Nacional;Hombres;2011;39,95
Total Nacional;Hombres;2010;39,68
Total Nacional;Hombres;2009;39,44
Total Nacional;Hombres;2008;39,3
Total Nacional;Hombres;2007;39,21
Total Nacional;Hombres;2006;39,09
Total Nacional;Hombres;2005;38,97
Total Nacional;Hombres;2004;38,83
Total Nacional;Hombres;2003;38,72
Total Nacional;Hombres;2002;38,62
Total Nacional;Hombres;2001;38,38
Total Nacional;Hombres;2000;38,11
Total Nacional;Hombres;1999;37,84
Total Nacional;Hombres;1998;37,54
Total Nacional;Hombres;1997;37,24
Total Nacional;Hombres;1996;36,94
Total Nacional;Hombres;1995;36,63
Total Nacional;Hombres;1994;36,33
Total Nacional;Hombres;1993;36,05
Total Nacional;Hombres;1992;35,77
Total Nacional;Hombres;1991;35,48
Total Nacional;Hombres;1990;35,15
Total Nacional;Hombres;1989;34,82
Total Nacional;Hombres;1988;34,49
Total Nacional;Hombres;1987;34,17
Total Nacional;Hombres;1986;33,86
Total Nacional;Hombres;1985;33,58
Total Nacional;Hombres;1984;33,3
Total Nacional;Hombres;1983;33,03
Total Nacional;Hombres;1982;32,78
Total Nacional;Hombres;1981;32,56
Total Nacional;Hombres;1980;32,35
Total Nacional;Hombres;1979;32,16
Total Nacional;Hombres;1978;32,02
Total Nacional;Hombres;1977;31,9
Total Nacional;Hombres;1976;31,81
Total Nacional;Hombres;1975;31,72
Total Nacional;Mujeres;2025;45,82
Total Nacional;Mujeres;2024;45,63
Total Nacional;Mujeres;2023;45,44
Total Nacional;Mujeres;2022;45,33
Total Nacional;Mujeres;2021;45,05
Total Nacional;Mujeres;2020;44,83
Total Nacional;Mujeres;2019;44,63
Total Nacional;Mujeres;2018;44,43
Total Nacional;Mujeres;2017;44,22
Total Nacional;Mujeres;2016;43,97
Total Nacional;Mujeres;2015;43,71
Total Nacional;Mujeres;2014;43,42
Total Nacional;Mujeres;2013;43,09
Total Nacional;Mujeres;2012;42,81
Total Nacional;Mujeres;2011;42,56
Total Nacional;Mujeres;2010;42,31
Total Nacional;Mujeres;2009;42,09
Total Nacional;Mujeres;2008;41,96
Total Nacional;Mujeres;2007;41,89
Total Nacional;Mujeres;2006;41,79
Total Nacional;Mujeres;2005;41,68
Total Nacional;Mujeres;2004;41,55
Total Nacional;Mujeres;2003;41,45
Total Nacional;Mujeres;2002;41,34
Total Nacional;Mujeres;2001;41,12
Total Nacional;Mujeres;2000;40,85
Total Nacional;Mujeres;1999;40,57
Total Nacional;Mujeres;1998;40,28
Total Nacional;Mujeres;1997;39,97
Total Nacional;Mujeres;1996;39,66
Total Nacional;Mujeres;1995;39,35
Total Nacional;Mujeres;1994;39,05
Total Nacional;Mujeres;1993;38,75
Total Nacional;Mujeres;1992;38,47
Total Nacional;Mujeres;1991;38,18
Total Nacional;Mujeres;1990;37,84
Total Nacional;Mujeres;1989;37,51
Total Nacional;Mujeres;1988;37,19
Total Nacional;Mujeres;1987;36,87
Total Nacional;Mujeres;1986;36,56
Total Nacional;Mujeres;1985;36,27
Total Nacional;Mujeres;1984;35,98
Total Nacional;Mujeres;1983;35,7
Total Nacional;Mujeres;1982;35,43
Total Nacional;Mujeres;1981;35,19
Total Nacional;Mujeres;1980;34,96
Total Nacional;Mujeres;1979;34,76
Total Nacional;Mujeres;1978;34,59
Total Nacional;Mujeres;1977;34,44
Total Nacional;Mujeres;1976;34,33
Total Nacional;Mujeres;1975;34,22
01 Andalucía;Ambos sexos;2025;43,53
01 Andalucía;Ambos sexos;2024;43,24
01 Andalucía;Ambos sexos;2023;42,96
01 Andalucía;Ambos sexos;2022;42,73
