Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2025;148,05
Total Nacional;2024;142,35
Total Nacional;2023;137,33
Total Nacional;2022;133,64
Total Nacional;2021;129,16
Total Nacional;2020;125,82
Total Nacional;2019;123
Total Nacional;2018;120,56
Total Nacional;2017;118,36
Total Nacional;2016;116,33
Total Nacional;2015;114,69
Total Nacional;2014;112,63
Total Nacional;2013;109,89
Total Nacional;2012;108,34
Total Nacional;2011;107,35
Total Nacional;2010;106,12
Total Nacional;2009;105,26
Total Nacional;2008;105,25
Total Nacional;2007;106,34
Total Nacional;2006;107,39
Total Nacional;2005;106,93
Total Nacional;2004;108,15
Total Nacional;2003;109,16
Total Nacional;2002;109,03
Total Nacional;2001;106,48
Total Nacional;2000;103,33
Total Nacional;1999;99,88
Total Nacional;1998;95,46
Total Nacional;1997;90,81
Total Nacional;1996;86,18
Total Nacional;1995;81,38
Total Nacional;1994;76,78
Total Nacional;1993;72,54
Total Nacional;1992;68,63
Total Nacional;1991;64,77
Total Nacional;1990;60,96
Total Nacional;1989;57,51
Total Nacional;1988;54,34
Total Nacional;1987;51,35
Total Nacional;1986;48,85
Total Nacional;1985;46,74
Total Nacional;1984;45,15
Total Nacional;1983;43,56
Total Nacional;1982;42,09
Total Nacional;1981;40,85
Total Nacional;1980;39,47
Total Nacional;1979;38,26
Total Nacional;1978;37,35
Total Nacional;1977;36,5
Total Nacional;1976;35,82
Total Nacional;1975;34,99
01 Andalucía;2025;128,62
01 Andalucía;2024;122,38
01 Andalucía;2023;116,87
01 Andalucía;2022;112,28
01 Andalucía;2021;108,14
01 Andalucía;2020;104,4
01 Andalucía;2019;101,36
01 Andalucía;2018;98,73
01 Andalucía;2017;96,35
01 Andalucía;2016;94,27
01 Andalucía;2015;92,87
01 Andalucía;2014;90,83
01 Andalucía;2013;88,37
01 Andalucía;2012;86,89
01 Andalucía;2011;85,84
01 Andalucía;2010;84,27
01 Andalucía;2009;82,89
01 Andalucía;2008;81,77
01 Andalucía;2007;81,64
01 Andalucía;2006;81,71
01 Andalucía;2005;80,51
01 Andalucía;2004;80,38
01 Andalucía;2003;80,01
01 Andalucía;2002;78,65
01 Andalucía;2001;76,09
01 Andalucía;2000;73,37
01 Andalucía;1999;70,71
01 Andalucía;1998;67,38
01 Andalucía;1997;64
01 Andalucía;1996;60,7
01 Andalucía;1995;57,51
01 Andalucía;1994;54,48
01 Andalucía;1993;51,86
01 Andalucía;1992;49,4
01 Andalucía;1991;47
01 Andalucía;1990;44,79
01 Andalucía;1989;42,71
01 Andalucía;1988;40,82
01 Andalucía;1987;39,03
01 Andalucía;1986;37,55
01 Andalucía;1985;36,18
