Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;2024;-2,37
Total Nacional;2023;-2,35
Total Nacional;2022;-2,79
Total Nacional;2021;-2,37
Total Nacional;2020;-3,21
Total Nacional;2019;-1,22
Total Nacional;2018;-1,16
Total Nacional;2017;-0,66
Total Nacional;2016;0,01
Total Nacional;2015;-0,04
Total Nacional;2014;0,7
Total Nacional;2013;0,77
Total Nacional;2012;1,12
Total Nacional;2011;1,81
Total Nacional;2010;2,26
Total Nacional;2009;2,38
Total Nacional;2008;2,92
Total Nacional;2007;2,39
Total Nacional;2006;2,52
Total Nacional;2005;1,83
Total Nacional;2004;1,95
Total Nacional;2003;1,38
Total Nacional;2002;1,25
Total Nacional;2001;1,17
Total Nacional;2000;0,96
Total Nacional;1999;0,27
Total Nacional;1998;0,16
Total Nacional;1997;0,53
Total Nacional;1996;0,32
Total Nacional;1995;0,49
Total Nacional;1994;0,84
Total Nacional;1993;1,21
Total Nacional;1992;1,7
Total Nacional;1991;1,52
Total Nacional;1990;1,78
Total Nacional;1989;2,18
Total Nacional;1988;2,6
Total Nacional;1987;3,06
Total Nacional;1986;3,36
Total Nacional;1985;3,74
Total Nacional;1984;4,56
Total Nacional;1983;4,81
Total Nacional;1982;6,05
Total Nacional;1981;6,35
Total Nacional;1980;7,53
Total Nacional;1979;8,36
Total Nacional;1978;9,24
Total Nacional;1977;9,92
Total Nacional;1976;10,48
Total Nacional;1975;10,38
01 Andalucía;2024;-1,53
01 Andalucía;2023;-1,54
01 Andalucía;2022;-1,87
01 Andalucía;2021;-1,61
01 Andalucía;2020;-1,53
01 Andalucía;2019;-0,13
01 Andalucía;2018;-0,21
01 Andalucía;2017;0,41
01 Andalucía;2016;1,2
01 Andalucía;2015;1,03
01 Andalucía;2014;1,89
01 Andalucía;2013;1,88
01 Andalucía;2012;2,15
01 Andalucía;2011;2,86
01 Andalucía;2010;3,34
01 Andalucía;2009;3,62
01 Andalucía;2008;4,25
01 Andalucía;2007;3,83
01 Andalucía;2006;4,15
01 Andalucía;2005;3,32
01 Andalucía;2004;3,4
01 Andalucía;2003;2,82
01 Andalucía;2002;2,71
01 Andalucía;2001;2,88
01 Andalucía;2000;2,77
01 Andalucía;1999;2,29
01 Andalucía;1998;2,14
01 Andalucía;1997;2,79
01 Andalucía;1996;2,6
01 Andalucía;1995;3,03
01 Andalucía;1994;3,57
01 Andalucía;1993;4,17
01 Andalucía;1992;4,76
01 Andalucía;1991;4,63
01 Andalucía;1990;4,88
01 Andalucía;1989;5,15
01 Andalucía;1988;5,6
01 Andalucía;1987;6,01
01 Andalucía;1986;6,34
01 Andalucía;1985;6,78
01 Andalucía;1984;7,75
01 Andalucía;1983;8,25
01 Andalucía;1982;9,16
01 Andalucía;1981;9,31
01 Andalucía;1980;10,4
01 Andalucía;1979;10,81
01 Andalucía;1978;11,38
01 Andalucía;1977;11,97
01 Andalucía;1976;12,05
01 Andalucía;1975;11,98
02 Aragón;2024;-3,93
02 Aragón;2023;-3,85
02 Aragón;2022;-4,79
02 Aragón;2021;-3,8
02 Aragón;2020;-5,72
02 Aragón;2019;-3
02 Aragón;2018;-3,13
02 Aragón;2017;-2,8
02 Aragón;2016;-1,94
02 Aragón;2015;-2,26
02 Aragón;2014;-1,61
02 Aragón;2013;-1,27
02 Aragón;2012;-1,3
02 Aragón;2011;-0,7
02 Aragón;2010;-0,19
02 Aragón;2009;-0,15
02 Aragón;2008;0,21
02 Aragón;2007;-0,32
02 Aragón;2006;-0,55
02 Aragón;2005;-1,63
02 Aragón;2004;-1,38
02 Aragón;2003;-2,19
02 Aragón;2002;-2,15
02 Aragón;2001;-1,99
02 Aragón;2000;-2,21
