año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2009,Andalucía,7627743.0,145802256.0,19.11473105478252,9437.0,11869.0,143930.0,126950.0,11.48,10.87,0.94,49.3,17.73,8.6,5.7,10.6,27.7,71.8,6.0,45.7,1757.5,7.27
2010,Andalucía,7666919.0,145853901.0,19.02379573854895,9882.0,11773.0,141520.0,120860.0,11.1,9.89,0.94,49.3,25.24,7.8,4.6,12.9,28.1,73.9,6.2,52.2,1713.33,6.85
2011,Andalucía,7693947.0,144494494.0,18.78028195411276,9793.0,11797.0,13310.0,113690.0,10.72,8.84,1.02,48.7,27.77,11.2,7.5,13.8,34.5,70.5,7.3,49.6,1723.42,6.72
2012,Andalucía,7702875.0,139052618.0,18.052041348197914,9241.0,11155.0,133910.0,111170.0,10.3,8.3,0.81,47.1,30.13,8.7,6.6,15.5,35.6,71.6,6.2,51.4,1579.42,6.43
2013,Andalucía,7710575.0,137294091.0,17.80594715698894,9361.0,11100.0,127050.0,108660.0,9.71,9.78,0.78,44.6,34.35,9.2,6.4,13.4,40.1,75.4,6.6,55.5,1443.42,6.04
2014,Andalucía,7740785.0,139135225.0,17.974304285676453,8897.0,11137.0,121180.0,101520.0,9.8,10.1,0.82,42.0,36.22,11.4,7.1,15.8,45.6,78.2,7.1,58.5,1366.0,5.95
2015,Andalucía,7762838.0,146406094.0,18.859867228969613,8607.0,11688.0,118620.0,100910.0,9.6,9.7,0.78,40.2,34.78,8.8,5.6,13.8,45.4,76.89999999999999,7.0,55.1,1372.33,6.12
2016,Andalucía,7768101.0,149901897.0,19.29710967970164,8402.0,11831.0,12560.0,104590.0,9.43,8.41,0.81,39.5,31.54,9.4,6.9,13.2,43.6,78.1,7.2,52.8,1387.58,6.42
2017,Andalucía,7773545.0,156789484.0,20.16962454066967,8864.0,12177.0,137090.0,114530.0,8.89,8.13,0.58,39.9,28.89,8.2,6.6,11.2,38.1,68.69999999999999,6.9,48.3,1451.42,6.83
2018,Andalucía,7763012.0,161894301.0,20.8545730703495,9560.0,12733.0,139770.0,116250.0,8.45,8.29,0.86,39.9,25.51,7.3,6.4,15.7,38.3,68.2,6.5,50.0,1497.25,7.58
2019,Andalucía,7758685.0,166478730.0,21.457080677975714,9643.0,13199.0,137550.0,116630.0,8.21,7.71,0.97,40.2,22.99,8.0,8.5,11.3,37.3,61.0,6.1,44.3,1582.67,8.1
2020,Andalucía,7762393.0,150452909.0,19.382284432133236,9566.0,13104.0,149580.0,130970.0,7.72,7.52,0.72,34.0,21.19,6.0,8.1,19.0,29.3,53.1,5.3,43.9,1649.75,8.59
2021,Andalucía,7760491.0,166296356.0,21.428586928327086,10472.0,13801.0,147690.0,127360.0,7.72,9.28,0.65,37.1,22.28,10.1,6.9,17.0,33.6,54.8,6.8,42.4,1731.5,8.57
2022,Andalucía,7758809.0,184051418.0,23.721607014684857,10388.0,14332.0,158620.0,137750.0,7.37,9.78,0.86,44.4,21.85,9.4,7.6,16.3,29.1,54.5,6.0,44.7,1843.83,9.06
2009,Aragón,1173335.0,33814117.0,28.818808780101165,11963.0,15833.0,185610.0,171930.0,9.72,7.21,0.74,38.1,7.29,7.3,4.1,3.4,10.4,36.7,4.4,15.4,1766.33,7.34
2010,Aragón,1174009.0,34100336.0,29.046060123900244,12904.0,15704.0,177730.0,169030.0,9.63,8.05,0.74,38.1,13.05,5.4,1.9,5.5,13.1,41.8,4.2,19.8,1753.33,6.9
2011,Aragón,1175100.0,33631537.0,28.620148923495872,12527.0,15934.0,172590.0,164220.0,9.38,6.75,0.45,37.3,14.96,7.8,2.7,5.5,17.1,36.2,5.3,22.1,1750.67,6.93
2012,Aragón,1176356.0,32169749.0,27.346950242953664,12172.0,15111.0,174190.0,160650.0,8.94,6.16,0.45,34.6,17.07,7.7,1.4,4.1,17.7,54.5,5.3,26.4,1628.92,6.65
2013,Aragón,1173497.0,32323922.0,27.544954950886112,12540.0,15127.0,176180.0,161210.0,8.74,7.04,0.52,32.0,18.67,9.8,3.9,11.6,20.0,60.1,5.6,30.7,1468.08,6.13
2014,Aragón,1176154.0,32602458.0,27.719548630536476,12617.0,15032.0,176620.0,159040.0,8.73,6.99,0.38,30.5,21.39,9.1,1.8,11.1,23.2,53.9,6.0,28.9,1337.83,5.84
2015,Aragón,1177664.0,33265930.0,28.247386351285257,12663.0,15511.0,183950.0,162670.0,8.59,8.35,0.68,29.1,20.17,6.4,1.2,8.1,20.3,47.3,5.4,27.9,1294.17,5.96
