año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2009,Andalucía,145802256.0,8244.5,10.87,11.48,17.73,9437.0,,20.93,1.29,19.67,80.82,,,,17685.0,11869.0,7627743.0,8.6,5.7,10.6,143930.0,126950.0,27.7,71.8,6.0,45.7,,1757.5,7.27
2010,Andalucía,145853901.0,8302.9,9.89,11.1,25.24,9882.0,,18.23,1.88,16.7,49.48,49.3,0.94,,17567.0,11773.0,7666919.0,7.8,4.6,12.9,141520.0,120860.0,28.1,73.9,6.2,52.2,49.3,1713.33,6.85
2011,Andalucía,144494494.0,8352.8,8.84,10.72,27.77,9793.0,,,2.06,,,48.7,1.02,,17299.0,11797.0,7693947.0,11.2,7.5,13.8,13310.0,113690.0,34.5,70.5,7.3,49.6,48.7,1723.42,6.72
2012,Andalucía,139052618.0,8378.3,8.3,10.3,30.13,9241.0,,,0.89,,,47.1,0.81,,16597.0,11155.0,7702875.0,8.7,6.6,15.5,133910.0,111170.0,35.6,71.6,6.2,51.4,47.1,1579.42,6.43
2013,Andalucía,137294091.0,8381.3,9.78,9.71,34.35,9361.0,,,1.31,,,44.6,0.78,58.7,16381.0,11100.0,7710575.0,9.2,6.4,13.4,127050.0,108660.0,40.1,75.4,6.6,55.5,44.6,1443.42,6.04
2014,Andalucía,139135225.0,8381.4,10.1,9.8,36.22,8897.0,,,,,,42.0,0.82,,16600.0,11137.0,7740785.0,11.4,7.1,15.8,121180.0,101520.0,45.6,78.2,7.1,58.5,42.0,1366.0,5.95
2015,Andalucía,146406094.0,8386.1,9.7,9.6,34.78,8607.0,42.4,,,,,40.2,0.78,,17458.0,11688.0,7762838.0,8.8,5.6,13.8,118620.0,100910.0,45.4,76.89999999999999,7.0,55.1,40.2,1372.33,6.12
2016,Andalucía,149901897.0,8390.7,8.41,9.43,31.54,8402.0,42.8,,,,,39.5,0.81,,17865.0,11831.0,7768101.0,9.4,6.9,13.2,12560.0,104590.0,43.6,78.1,7.2,52.8,39.5,1387.58,6.42
2017,Andalucía,156789484.0,8388.4,8.13,8.89,28.89,8864.0,42.5,,,,,39.9,0.58,,18691.0,12177.0,7773545.0,8.2,6.6,11.2,137090.0,114530.0,38.1,68.69999999999999,6.9,48.3,39.9,1451.42,6.83
2018,Andalucía,161894301.0,8392.1,8.29,8.45,25.51,9560.0,39.2,,,,,39.9,0.86,62.9,19291.0,12733.0,7763012.0,7.3,6.4,15.7,139770.0,116250.0,38.3,68.2,6.5,50.0,39.9,1497.25,7.58
2019,Andalucía,166478730.0,8432.1,7.71,8.21,22.99,9643.0,42.3,,,,,40.2,0.97,,19744.0,13199.0,7758685.0,8.0,8.5,11.3,137550.0,116630.0,37.3,61.0,6.1,44.3,40.2,1582.67,8.1
2020,Andalucía,150452909.0,8465.9,7.52,7.72,21.19,9566.0,39.0,,,,,34.0,0.72,,17772.0,13104.0,7762393.0,6.0,8.1,19.0,149580.0,130970.0,29.3,53.1,5.3,43.9,34.0,1649.75,8.59
