|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
0|2000|Andalucía|86760722|7301.8||11.08||||||||||
1|2000|Aragón|20431675|1200.8||8.29||||||||||
2|2000|Asturias|14156303|1066.1||6.33||||||||||
3|2000|Balears|16505108|823.4||11.36||||||||||
4|2000|Canarias|24986123|1667.4||11.12||||||||||
5|2000|Cantabria|7985491|533.6||8.16||||||||||
6|2000|Castilla Y León|35666620|2467.7||7.26||||||||||
7|2000|Castilla - La Mancha|22364758|1746.7||9.64||||||||||
8|2000|Cataluña|122568772|6297.2||10.21||||||||||
9|2000|Comunitat Valenciana|62769305|4118.0||10.09||||||||||
10|2000|Extremadura|11111196|1059.2||9.57||||||||||
11|2000|Galicia|33439492|2699.0||7.22||||||||||
12|2000|Madrid|113369166|5353.4||10.83||||||||||
13|2000|Murcia|16088710|1176.1||12.25||||||||||
14|2000|Navarra|11309008|550.0||9.58||||||||||
15|2000|País Vasco|40734167|2083.3||8.35||||||||||
16|2000|Rioja|4931442|274.5||8.7||||||||||
17|2000|Ceuta|948660|71.0||13.97||||||||||
18|2000|Melilla|870994|65.2||16.85||||||||||
19|2001|Andalucía|93964317|7341.5|11.17|11.06||||||||||
20|2001|Aragón|21935008|1203.2|7.94|8.62||||||||||
21|2001|Asturias|15252724|1063.7|13.66|6.45||||||||||
22|2001|Balears|17867937|836.9|7.61|11.44||||||||||
23|2001|Canarias|27237439|1687.3|9.63|10.96||||||||||
24|2001|Cantabria|8636331|534.6|5.01|8.02||||||||||
25|2001|Castilla Y León|37939899|2459.0|9.34|7.16||||||||||
26|2001|Castilla - La Mancha|24300480|1756.6|8.72|9.6||||||||||
27|2001|Cataluña|132816296|6330.9|7.66|10.31||||||||||
28|2001|Comunitat Valenciana|68573071|4150.8|9.15|10.27||||||||||
29|2001|Extremadura|11906392|1058.4|7.65|9.35||||||||||
30|2001|Galicia|36029481|2696.0|10.59|7.18||||||||||
31|2001|Madrid|123638301|5405.0|4.34|11.16||||||||||
32|2001|Murcia|17524452|1191.8|11.02|12.66||||||||||
33|2001|Navarra|12052307|554.2|8.63|10.31||||||||||
34|2001|País Vasco|43515328|2082.5|8.15|8.49||||||||||
35|2001|Rioja|5273021|276.2|6.75|8.81||||||||||
36|2001|Ceuta|985771|71.4|4.35|13.72||||||||||
37|2001|Melilla|906601|66.1|5.09|17.1||||||||||
38|2002|Andalucía|101269401|7437.2|10.36|11.01||||31.84||17.47||||
39|2002|Aragón|23732938|1217.6|7.02|8.51||||29.44||12.97||||
40|2002|Asturias|16131558|1062.1|12.09|6.34||||26.81||14.89||||
41|2002|Balears|18912404|866.1|6.68|12.03||||31.78||12.77||||
42|2002|Canarias|29101803|1730.7|7.85|11.24||||34.16||14.02||||
43|2002|Cantabria|9208673|538.6|4.76|8.47||||32.78||14.38||||
44|2002|Castilla Y León|40240849|2458.0|7.97|7.36||||28.68||11.55||||
45|2002|Castilla - La Mancha|26093633|1777.8|7.7|9.63||||28.83||15.38||||
46|2002|Cataluña|141683092|6470.1|7.86|10.59||||31.4||11.14||||
47|2002|Comunitat Valenciana|73368886|4254.3|8.52|10.39||||33.95||13.85||||
48|2002|Extremadura|12696756|1058.0|6.69|9.24||||30.16||15.4||||
49|2002|Galicia|38440880|2699.5|9.47|7.16||||26.42||11.43||||
50|2002|Madrid|132944643|5561.6|4.96|11.36||||36.0||12.14||||
51|2002|Murcia|19015733|1224.4|8.65|12.65||||35.33||14.22||||
52|2002|Navarra|12847752|562.5|7.69|10.31||||30.33||7.25||||
53|2002|País Vasco|45891095|2087.4|7.09|8.69||||31.28||8.56||||
54|2002|Rioja|5566913|281.3|12.3|9.16||||29.94||7.5||||
55|2002|Ceuta|1040077|70.8|3.04|14.44||||32.07||14.1||||
56|2002|Melilla|947808|65.5|4.59|16.02||||32.07||14.1||||
57|2003|Andalucía|110093641|7544.2|10.35|11.42||||30.39||17.62||||
58|2003|Aragón|25329113|1231.4|9.33|8.93||||28.85||12.44||||
59|2003|Asturias|17036426|1062.2|11.81|6.69||||25.9||13.28||||
60|2003|Balears|19867979|898.6|7.25|11.86||||28.55||12.62||||
61|2003|Canarias|31104840|1779.5|7.86|10.83||||29.86||14.56||||
62|2003|Cantabria|9699398|544.9|5.35|8.94||||28.62||11.97||||
63|2003|Castilla Y León|42711006|2467.4|8.37|7.54||||24.84||12.04||||
64|2003|Castilla - La Mancha|28278754|1815.0|8.15|9.95||||24.12||17.1||||
65|2003|Cataluña|151640414|6639.1|7.93|11.03||||28.38||11.48||||
66|2003|Comunitat Valenciana|78234975|4381.6|7.3|10.8||||30.92||14.63||||
67|2003|Extremadura|13574328|1062.4|9.08|9.38||||28.75||18.97||||
68|2003|Galicia|41139764|2707.3|10.05|7.54||||22.97||14.37||||
69|2003|Madrid|142555275|5708.4|5.01|11.75||||28.19||9.7||||
70|2003|Murcia|20644875|1260.7|8.97|13.04||||28.6||15.67||||
71|2003|Navarra|13652158|572.5|9.68|10.8||||27.24||13.65||||
72|2003|País Vasco|48403686|2097.3|8.81|9.19||||26.69||10.41||||
73|2003|Rioja|6021536|287.7|12.37|9.98||||25.2||10.47||||
74|2003|Ceuta|1109612|71.2|6.29|14.26||||26.8||12.76||||
75|2003|Melilla|1011565|65.0|10.33|17.04||||26.8||12.76||||
76|2004|Andalucía|119026615|7649.0|11.01|11.64||||28.82||17.96|75.64|||
77|2004|Aragón|26975682|1244.5|6.77|9.21||||26.34||15.41|84.06|||
78|2004|Asturias|18115298|1062.1|10.85|6.8||||26.25||14.05|73.61|||
79|2004|Balears|21228501|924.0|8.91|11.68||||27.0||12.14|71.58|||
80|2004|Canarias|32847221|1826.8|7.96|10.51||||29.77||16.1|60.88|||
81|2004|Cantabria|10327246|551.0|6.28|9.18||||31.34||14.09|66.44|||
82|2004|Castilla Y León|45368864|2475.3|9.09|7.64||||23.52||13.66|84.07|||
