Comunidad Autónoma,año,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad
Andalucía,2008,18638,11951.0,7578941.0,7.3,6.8,7.6,138590.0,116510.0,27.3,72.1,6.0,38.2,
Aragón,2008,26519,16062.0,1172026.0,7.5,3.1,3.4,171070.0,163030.0,14.9,44.199999999999996,4.7,15.5,
Asturias,2008,21987,15480.0,1039334.0,3.7,1.9,3.5,173830.0,149640.0,13.2,46.0,4.9,20.0,
Balears,2008,26377,15910.0,849808.0,19.4,3.0,8.5,164960.0,143290.0,18.1,58.599999999999994,5.9,30.4,
Canarias,2008,20476,12875.0,1792121.0,11.0,9.3,11.0,134180.0,118150.0,30.7,80.6,5.6,49.6,
Cantabria,2008,22852,15323.0,548896.0,10.6,6.2,3.6,167270.0,153180.0,14.3,65.0,4.8,20.8,
Castilla Y León,2008,22108,14740.0,2402528.0,3.9,2.8,4.0,155330.0,13950.0,17.5,53.900000000000006,4.5,22.0,
Castilla - La Mancha,2008,19891,12374.0,1837092.0,5.6,5.9,9.7,138980.0,118570.0,26.4,67.3,5.1,24.3,
Cataluña,2008,28217,16937.0,6260288.0,13.4,7.5,8.6,185660.0,161880.0,12.3,64.3,5.2,27.0,
Comunitat Valenciana,2008,21766,13555.0,4182262.0,12.0,3.1,13.4,147960.0,128670.0,23.6,65.3,5.7,30.6,
Extremadura,2008,17263,11376.0,1062429.0,3.2,4.9,3.9,124840.0,10470.0,35.3,64.8,5.0,30.6,
Galicia,2008,21107,13817.0,2688601.0,3.7,2.7,3.4,143740.0,125050.0,20.9,61.8,4.6,24.4,
Madrid,2008,32125,17967.0,5266257.0,13.9,7.1,10.6,189410.0,166120.0,14.9,59.5,5.6,32.7,
Murcia,2008,20636,12371.0,1200484.0,7.9,7.5,8.5,141470.0,127380.0,24.5,68.6,5.1,35.2,
Navarra,2008,29937,18435.0,555332.0,8.1,2.5,7.6,199070.0,179770.0,5.9,40.6,4.2,20.3,
País Vasco,2008,30636,19600.0,2039775.0,4.2,2.9,4.8,208870.0,188520.0,9.1,42.8,4.8,17.6,
Rioja,2008,25954,15510.0,273645.0,12.0,3.3,7.3,159170.0,141610.0,16.2,55.2,4.3,22.3,
Ceuta,2008,19584,13906.0,74265.0,4.8,26.6,7.6,134580.0,110410.0,40.1,63.0,10.9,47.8,
Melilla,2008,18800,13072.0,64976.0,1.2,15.0,10.2,17420.0,178770.0,17.7,53.7,6.4,43.7,
Andalucía,2009,17685,11869.0,7627743.0,8.6,5.7,10.6,143930.0,126950.0,27.7,71.8,6.0,45.7,
Aragón,2009,25150,15833.0,1173335.0,7.3,4.1,3.4,185610.0,171930.0,10.4,36.7,4.4,15.4,
Asturias,2009,20778,14854.0,1038170.0,4.8,1.7,5.3,185610.0,160830.0,12.9,50.0,5.1,21.6,
Balears,2009,24832,15421.0,857864.0,18.5,5.9,18.6,175480.0,153080.0,18.1,62.2,6.3,37.8,
Canarias,2009,19421,12528.0,1802788.0,9.6,9.6,20.8,136120.0,116730.0,29.2,77.5,6.3,60.1,
Cantabria,2009,21834,14840.0,551139.0,12.0,2.7,4.5,181080.0,162120.0,13.4,49.1,5.7,22.0,
Castilla Y León,2009,21374,14353.0,2395880.0,5.8,3.2,7.2,164150.0,146580.0,18.7,55.4,5.1,24.3,
Castilla - La Mancha,2009,18959,12249.0,1855425.0,6.7,3.8,12.4,147120.0,129680.0,24.1,62.5,4.9,34.9,
Cataluña,2009,26956,16813.0,6286141.0,14.0,6.6,9.0,189780.0,168180.0,14.6,65.5,5.8,38.6,
Comunitat Valenciana,2009,20462,13165.0,4205335.0,12.1,3.7,18.7,157030.0,140040.0,20.4,64.7,5.3,39.3,
Extremadura,2009,16744,11096.0,1065187.0,3.9,3.0,1.8,138330.0,120240.0,29.7,66.7,5.6,30.1,
Galicia,2009,20314,13511.0,2689452.0,4.5,1.9,6.7,151130.0,136070.0,19.2,60.400000000000006,4.6,33.6,
Madrid,2009,31364,18183.0,5323129.0,15.4,7.5,12.3,205970.0,183490.0,15.4,56.5,6.3,32.5,
Murcia,2009,19383,12096.0,1210529.0,12.8,7.1,18.1,141390.0,124890.0,28.0,74.0,5.7,47.2,
Navarra,2009,28569,17950.0,559951.0,6.8,1.3,7.6,213180.0,189220.0,7.3,39.800000000000004,4.7,20.2,
País Vasco,2009,29215,19012.0,2039310.0,5.5,2.4,3.8,221380.0,19940.0,9.8,44.8,5.2,22.2,
Rioja,2009,24741,15113.0,274771.0,7.5,5.9,11.7,164470.0,141320.0,16.6,55.5,5.1,28.3,
Ceuta,2009,19077,13428.0,75124.0,9.8,21.6,5.4,142610.0,115740.0,36.4,77.8,15.0,44.8,
Melilla,2009,18284,12476.0,65863.0,7.4,14.9,13.1,17120.0,186340.0,30.0,67.5,9.9,52.2,
Andalucía,2010,17567,11773.0,7666919.0,7.8,4.6,12.9,141520.0,120860.0,28.1,73.9,6.2,52.2,49.3
Aragón,2010,25375,15704.0,1174009.0,5.4,1.9,5.5,177730.0,169030.0,13.1,41.8,4.2,19.8,38.1
Asturias,2010,20992,14811.0,1035055.0,3.8,1.2,3.3,183770.0,158410.0,11.4,44.1,4.7,19.6,26.5
Balears,2010,24638,15211.0,863793.0,20.6,4.8,13.7,170760.0,152660.0,22.5,61.8,6.9,36.1,64.5
Canarias,2010,19355,12576.0,1811140.0,12.4,11.6,15.1,139050.0,127370.0,29.7,75.2,6.7,55.5,45.8
Cantabria,2010,21850,14468.0,553049.0,9.1,1.8,3.4,164560.0,146310.0,19.7,59.3,5.3,39.9,29.7
Castilla Y León,2010,21487,14316.0,2390017.0,5.5,3.3,9.2,1610.0,147360.0,19.0,54.2,5.2,31.4,33.2
