Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta media por unidad de consumo;Total Nacional;2024;21.759
Renta media por unidad de consumo;Total Nacional;2023;20.676
Renta media por unidad de consumo;Total Nacional;2022;19.160
Renta media por unidad de consumo;Total Nacional;2021;18.103
Renta media por unidad de consumo;Total Nacional;2020;18.116
Renta media por unidad de consumo;Total Nacional;2019;17.287
Renta media por unidad de consumo;Total Nacional;2018;16.937
Renta media por unidad de consumo;Total Nacional;2017;16.390
Renta media por unidad de consumo;Total Nacional;2016;15.842
Renta media por unidad de consumo;Total Nacional;2015;15.408
Renta media por unidad de consumo;Total Nacional;2014;15.405
Renta media por unidad de consumo;Total Nacional;2013;15.635
Renta media por unidad de consumo;Total Nacional;2012;16.119
Renta media por unidad de consumo;Total Nacional;2011;16.280
Renta media por unidad de consumo;Total Nacional;2010;16.922
Renta media por unidad de consumo;Total Nacional;2009;17.042
Renta media por unidad de consumo;Total Nacional;2008;16.190
Renta media por unidad de consumo;01 Andalucía;2024;17.990
Renta media por unidad de consumo;01 Andalucía;2023;17.295
Renta media por unidad de consumo;01 Andalucía;2022;15.862
Renta media por unidad de consumo;01 Andalucía;2021;14.769
Renta media por unidad de consumo;01 Andalucía;2020;14.958
Renta media por unidad de consumo;01 Andalucía;2019;13.755
Renta media por unidad de consumo;01 Andalucía;2018;13.977
Renta media por unidad de consumo;01 Andalucía;2017;13.709
Renta media por unidad de consumo;01 Andalucía;2016;12.560
Renta media por unidad de consumo;01 Andalucía;2015;11.862
Renta media por unidad de consumo;01 Andalucía;2014;12.118
Renta media por unidad de consumo;01 Andalucía;2013;12.705
Renta media por unidad de consumo;01 Andalucía;2012;13.391
Renta media por unidad de consumo;01 Andalucía;2011;13.310
Renta media por unidad de consumo;01 Andalucía;2010;14.152
Renta media por unidad de consumo;01 Andalucía;2009;14.393
Renta media por unidad de consumo;01 Andalucía;2008;13.859
Renta media por unidad de consumo;02 Aragón;2024;22.875
Renta media por unidad de consumo;02 Aragón;2023;21.430
Renta media por unidad de consumo;02 Aragón;2022;20.347
Renta media por unidad de consumo;02 Aragón;2021;19.381
Renta media por unidad de consumo;02 Aragón;2020;19.150
Renta media por unidad de consumo;02 Aragón;2019;18.067
Renta media por unidad de consumo;02 Aragón;2018;17.672
Renta media por unidad de consumo;02 Aragón;2017;17.756
