,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
0,Noviembre 2025,"19,1 €/m2","- 0,2 %","- 1,5 %","+ 9,1 %",Baleares
1,Octubre 2025,"19,1 €/m2","- 0,5 %","- 3,1 %","+ 9,0 %",Baleares
2,Septiembre 2025,"19,2 €/m2","- 0,8 %","- 4,7 %","+ 6,6 %",Baleares
3,Agosto 2025,"19,4 €/m2","- 1,8 %","- 1,5 %","+ 4,9 %",Baleares
4,Julio 2025,"19,7 €/m2","- 2,2 %","+ 3,5 %","+ 4,6 %",Baleares
5,Junio 2025,"20,2 €/m2","+ 2,5 %","+ 9,1 %","+ 1,6 %",Baleares
6,Mayo 2025,"19,7 €/m2","+ 3,2 %","+ 9,0 %","+ 3,0 %",Baleares
7,Abril 2025,"19,1 €/m2","+ 3,1 %","+ 6,6 %","+ 7,4 %",Baleares
8,Marzo 2025,"18,5 €/m2","+ 2,5 %","+ 5,1 %","+ 10,8 %",Baleares
9,Febrero 2025,"18,1 €/m2","+ 1,0 %","+ 3,2 %","+ 9,6 %",Baleares
10,Enero 2025,"17,9 €/m2","+ 1,6 %","+ 1,9 %","+ 10,5 %",Baleares
11,Diciembre 2024,"17,6 €/m2","+ 0,7 %","- 2,4 %","+ 9,5 %",Baleares
12,Noviembre 2024,"17,5 €/m2","- 0,4 %","- 5,3 %","+ 9,6 %",Baleares
13,Octubre 2024,"17,6 €/m2","- 2,7 %","- 7,0 %","+ 9,3 %",Baleares
14,Septiembre 2024,"18,0 €/m2","- 2,4 %","- 9,3 %","+ 11,4 %",Baleares
15,Agosto 2024,"18,5 €/m2","- 2,1 %","- 3,3 %","+ 11,8 %",Baleares
16,Julio 2024,"18,9 €/m2","- 5,1 %","+ 6,2 %","+ 14,6 %",Baleares
17,Junio 2024,"19,9 €/m2","+ 4,0 %","+ 19,0 %","+ 21,5 %",Baleares
18,Mayo 2024,"19,1 €/m2","+ 7,6 %","+ 16,0 %","+ 22,1 %",Baleares
19,Abril 2024,"17,8 €/m2","+ 6,3 %","+ 9,8 %","+ 17,1 %",Baleares
20,Marzo 2024,"16,7 €/m2","+ 1,4 %","+ 3,9 %","+ 15,3 %",Baleares
21,Febrero 2024,"16,5 €/m2","+ 1,8 %","+ 3,3 %","+ 17,5 %",Baleares
22,Enero 2024,"16,2 €/m2","+ 0,6 %","+ 0,7 %","+ 17,6 %",Baleares
23,Diciembre 2023,"16,1 €/m2","+ 0,8 %","- 0,7 %","+ 18,3 %",Baleares
24,Noviembre 2023,"16,0 €/m2","- 0,7 %","- 3,5 %","+ 18,1 %",Baleares
25,Octubre 2023,"16,1 €/m2","- 0,8 %","- 2,4 %","+ 20,6 %",Baleares
26,Septiembre 2023,"16,2 €/m2","- 2,1 %","- 1,0 %","+ 22,7 %",Baleares
27,Agosto 2023,"16,5 €/m2","+ 0,4 %","+ 5,6 %","+ 23,3 %",Baleares
28,Julio 2023,"16,5 €/m2","+ 0,7 %","+ 8,6 %","+ 24,2 %",Baleares
29,Junio 2023,"16,4 €/m2","+ 4,5 %","+ 12,9 %","+ 27,3 %",Baleares
30,Mayo 2023,"15,7 €/m2","+ 3,2 %","+ 11,7 %","+ 23,8 %",Baleares
31,Abril 2023,"15,2 €/m2","+ 4,7 %","+ 10,3 %","+ 22,0 %",Baleares
32,Marzo 2023,"14,5 €/m2","+ 3,4 %","+ 6,6 %","+ 19,7 %",Baleares
33,Febrero 2023,"14,0 €/m2","+ 1,9 %","+ 3,8 %","+ 16,6 %",Baleares
34,Enero 2023,"13,8 €/m2","+ 1,2 %","+ 3,2 %","+ 15,1 %",Baleares
35,Diciembre 2022,"13,6 €/m2","+ 0,7 %","+ 3,1 %","+ 13,7 %",Baleares
36,Noviembre 2022,"13,5 €/m2","+ 1,3 %","+ 0,7 %","+ 13,9 %",Baleares
37,Octubre 2022,"13,3 €/m2","+ 1,0 %","+ 0,5 %","+ 14,2 %",Baleares
38,Septiembre 2022,"13,2 €/m2","- 1,6 %","+ 2,6 %","+ 14,6 %",Baleares
39,Agosto 2022,"13,4 €/m2","+ 1,1 %","+ 6,0 %","+ 17,1 %",Baleares
40,Julio 2022,"13,3 €/m2","+ 3,2 %","+ 6,7 %","+ 15,6 %",Baleares
41,Junio 2022,"12,9 €/m2","+ 1,6 %","+ 6,2 %","+ 12,4 %",Baleares
42,Mayo 2022,"12,7 €/m2","+ 1,7 %","+ 5,3 %","+ 11,6 %",Baleares
43,Abril 2022,"12,4 €/m2","+ 2,7 %","+ 4,1 %","+ 10,5 %",Baleares
44,Marzo 2022,"12,1 €/m2","+ 0,8 %","+ 1,2 %","+ 7,9 %",Baleares
45,Febrero 2022,"12,0 €/m2","+ 0,6 %","+ 1,3 %","+ 6,6 %",Baleares
46,Enero 2022,"11,9 €/m2","- 0,1 %","+ 2,3 %","+ 5,5 %",Baleares
47,Diciembre 2021,"12,0 €/m2","+ 0,9 %","+ 4,0 %","+ 3,7 %",Baleares
48,Noviembre 2021,"11,9 €/m2","+ 1,6 %","+ 3,5 %","+ 1,8 %",Baleares
49,Octubre 2021,"11,7 €/m2","+ 1,4 %","+ 1,7 %","- 0,7 %",Baleares
50,Septiembre 2021,"11,5 €/m2","+ 0,4 %","+ 0,6 %","- 3,6 %",Baleares
51,Agosto 2021,"11,5 €/m2","- 0,2 %","+ 1,1 %","- 5,6 %",Baleares
52,Julio 2021,"11,5 €/m2","+ 0,4 %","+ 2,0 %","- 6,5 %",Baleares
53,Junio 2021,"11,4 €/m2","+ 0,9 %","+ 1,9 %","- 8,8 %",Baleares
54,Mayo 2021,"11,3 €/m2","+ 0,8 %","+ 0,6 %","- 12,3 %",Baleares
55,Abril 2021,"11,3 €/m2","+ 0,3 %","- 0,6 %","- 12,6 %",Baleares
56,Marzo 2021,"11,2 €/m2","- 0,5 %","- 2,8 %","- 11,0 %",Baleares
57,Febrero 2021,"11,3 €/m2","- 0,4 %","- 3,2 %","- 8,6 %",Baleares
58,Enero 2021,"11,3 €/m2","- 1,9 %","- 3,7 %","- 7,8 %",Baleares
59,Diciembre 2020,"11,5 €/m2","- 0,9 %","- 3,4 %","- 6,9 %",Baleares
