,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
0,Noviembre 2025,"10,7 €/m2","+ 1,0 %","- 0,7 %","+ 4,1 %",Navarra
1,Octubre 2025,"10,6 €/m2","- 1,5 %","- 0,7 %","+ 3,0 %",Navarra
2,Septiembre 2025,"10,7 €/m2","- 0,1 %","+ 2,2 %","+ 5,4 %",Navarra
3,Agosto 2025,"10,8 €/m2","+ 1,0 %","+ 2,9 %","+ 6,1 %",Navarra
4,Julio 2025,"10,6 €/m2","+ 1,3 %","+ 1,6 %","+ 6,4 %",Navarra
5,Junio 2025,"10,5 €/m2","+ 0,6 %","- 0,3 %","+ 4,8 %",Navarra
6,Mayo 2025,"10,4 €/m2","- 0,3 %","- 1,3 %","+ 2,7 %",Navarra
7,Abril 2025,"10,5 €/m2","- 0,6 %","- 0,4 %","+ 3,5 %",Navarra
8,Marzo 2025,"10,5 €/m2","- 0,4 %","+ 0,6 %","+ 5,4 %",Navarra
9,Febrero 2025,"10,6 €/m2","+ 0,6 %","+ 3,2 %","+ 6,9 %",Navarra
10,Enero 2025,"10,5 €/m2","+ 0,4 %","+ 2,5 %","+ 7,1 %",Navarra
11,Diciembre 2024,"10,5 €/m2","+ 2,2 %","+ 2,8 %","+ 6,6 %",Navarra
12,Noviembre 2024,"10,3 €/m2","- 0,1 %","+ 1,3 %","+ 5,4 %",Navarra
13,Octubre 2024,"10,3 €/m2","+ 0,8 %","+ 2,7 %","+ 6,4 %",Navarra
14,Septiembre 2024,"10,2 €/m2","+ 0,6 %","+ 1,7 %","+ 6,1 %",Navarra
15,Agosto 2024,"10,1 €/m2","+ 1,3 %","- 0,4 %","+ 4,8 %",Navarra
16,Julio 2024,"10,0 €/m2","- 0,2 %","- 1,2 %","+ 3,3 %",Navarra
17,Junio 2024,"10,0 €/m2","- 1,5 %","+ 0,3 %","+ 3,5 %",Navarra
18,Mayo 2024,"10,2 €/m2","+ 0,4 %","+ 2,7 %","+ 6,5 %",Navarra
19,Abril 2024,"10,1 €/m2","+ 1,3 %","+ 3,1 %","+ 6,4 %",Navarra
20,Marzo 2024,"10,0 €/m2","+ 1,0 %","+ 1,6 %","+ 4,6 %",Navarra
21,Febrero 2024,"9,9 €/m2","+ 0,8 %","+ 1,7 %","+ 5,1 %",Navarra
22,Enero 2024,"9,8 €/m2","- 0,1 %","+ 1,8 %","+ 5,6 %",Navarra
23,Diciembre 2023,"9,8 €/m2","+ 1,0 %","+ 2,4 %","+ 5,4 %",Navarra
24,Noviembre 2023,"9,7 €/m2","+ 0,9 %","+ 0,7 %","+ 5,0 %",Navarra
25,Octubre 2023,"9,6 €/m2","+ 0,4 %","- 0,4 %","+ 2,8 %",Navarra
26,Septiembre 2023,"9,6 €/m2","- 0,6 %","- 0,8 %","+ 3,0 %",Navarra
27,Agosto 2023,"9,7 €/m2","- 0,2 %","+ 1,2 %","+ 2,7 %",Navarra
28,Julio 2023,"9,7 €/m2","+ 0,1 %","+ 1,8 %","+ 3,9 %",Navarra
29,Junio 2023,"9,7 €/m2","+ 1,4 %","+ 1,3 %","+ 4,3 %",Navarra
30,Mayo 2023,"9,5 €/m2","+ 0,3 %","+ 1,4 %","+ 3,9 %",Navarra
31,Abril 2023,"9,5 €/m2","- 0,4 %","+ 2,3 %","+ 4,7 %",Navarra
32,Marzo 2023,"9,6 €/m2","+ 1,5 %","+ 2,5 %","+ 4,7 %",Navarra
33,Febrero 2023,"9,4 €/m2","+ 1,2 %","+ 1,5 %","+ 4,1 %",Navarra
34,Enero 2023,"9,3 €/m2","- 0,2 %","- 0,8 %","+ 3,4 %",Navarra
35,Diciembre 2022,"9,3 €/m2","+ 0,6 %","0,0 %","+ 3,5 %",Navarra
36,Noviembre 2022,"9,3 €/m2","- 1,1 %","- 1,5 %","+ 4,7 %",Navarra
37,Octubre 2022,"9,4 €/m2","+ 0,6 %","+ 0,6 %","+ 5,8 %",Navarra
38,Septiembre 2022,"9,3 €/m2","- 0,9 %","+ 0,6 %","+ 5,1 %",Navarra
39,Agosto 2022,"9,4 €/m2","+ 0,9 %","+ 2,4 %","+ 5,8 %",Navarra
40,Julio 2022,"9,3 €/m2","+ 0,5 %","+ 2,5 %","+ 5,0 %",Navarra
41,Junio 2022,"9,3 €/m2","+ 0,9 %","+ 1,6 %","+ 4,2 %",Navarra
42,Mayo 2022,"9,2 €/m2","+ 1,1 %","+ 1,7 %","+ 4,3 %",Navarra
43,Abril 2022,"9,1 €/m2","- 0,4 %","+ 1,0 %","+ 2,7 %",Navarra
44,Marzo 2022,"9,1 €/m2","+ 0,9 %","+ 1,3 %","+ 3,2 %",Navarra
45,Febrero 2022,"9,0 €/m2","+ 0,5 %","+ 2,2 %","+ 3,2 %",Navarra
46,Enero 2022,"9,0 €/m2","- 0,1 %","+ 1,5 %","+ 3,5 %",Navarra
47,Diciembre 2021,"9,0 €/m2","+ 1,7 %","+ 1,5 %","+ 4,1 %",Navarra
48,Noviembre 2021,"8,9 €/m2","- 0,2 %","- 0,5 %","+ 3,7 %",Navarra
49,Octubre 2021,"8,9 €/m2","- 0,1 %","- 0,1 %","+ 3,8 %",Navarra
50,Septiembre 2021,"8,9 €/m2","- 0,2 %","- 0,3 %","+ 3,4 %",Navarra
51,Agosto 2021,"8,9 €/m2","+ 0,2 %","+ 0,9 %","+ 5,6 %",Navarra
52,Julio 2021,"8,9 €/m2","- 0,3 %","+ 0,2 %","+ 6,0 %",Navarra
53,Junio 2021,"8,9 €/m2","+ 1,0 %","+ 0,7 %","+ 4,7 %",Navarra
54,Mayo 2021,"8,8 €/m2","- 0,4 %","+ 0,6 %","+ 3,9 %",Navarra
55,Abril 2021,"8,9 €/m2","+ 0,2 %","+ 1,9 %","+ 4,0 %",Navarra
56,Marzo 2021,"8,8 €/m2","+ 0,9 %","+ 2,2 %","+ 5,1 %",Navarra
57,Febrero 2021,"8,8 €/m2","+ 0,8 %","+ 2,6 %","+ 4,8 %",Navarra
58,Enero 2021,"8,7 €/m2","+ 0,5 %","+ 1,7 %","+ 5,2 %",Navarra
59,Diciembre 2020,"8,7 €/m2","+ 1,3 %","+ 0,8 %","+ 4,3 %",Navarra
60,Noviembre 2020,"8,5 €/m2","- 0,1 %","+ 1,4 %","+ 1,7 %",Navarra
61,Octubre 2020,"8,5 €/m2","- 0,4 %","+ 2,0 %","+ 3,0 %",Navarra
62,Septiembre 2020,"8,6 €/m2","+ 1,9 %","+ 1,0 %","+ 4,2 %",Navarra
63,Agosto 2020,"8,4 €/m2","+ 0,6 %","- 0,7 %","+ 1,9 %",Navarra
64,Julio 2020,"8,4 €/m2","- 1,5 %","- 1,6 %","+ 1,9 %",Navarra
65,Junio 2020,"8,5 €/m2","+ 0,2 %","+ 1,1 %","+ 5,2 %",Navarra
66,Mayo 2020,"8,5 €/m2","- 0,3 %","+ 1,5 %","+ 8,2 %",Navarra
67,Abril 2020,"8,5 €/m2","+ 1,3 %","+ 3,0 %","+ 13,6 %",Navarra
68,Marzo 2020,"8,4 €/m2","+ 0,6 %","+ 1,4 %","+ 11,0 %",Navarra
69,Febrero 2020,"8,4 €/m2","+ 1,2 %","- 0,5 %","+ 9,9 %",Navarra
70,Enero 2020,"8,3 €/m2","- 0,4 %","- 0,4 %","+ 7,0 %",Navarra
71,Diciembre 2019,"8,3 €/m2","- 1,2 %","+ 0,7 %","+ 7,8 %",Navarra
72,Noviembre 2019,"8,4 €/m2","+ 1,2 %","+ 1,7 %","+ 9,5 %",Navarra
73,Octubre 2019,"8,3 €/m2","+ 0,7 %","+ 1,0 %","+ 7,8 %",Navarra
74,Septiembre 2019,"8,2 €/m2","- 0,3 %","+ 1,9 %","+ 8,4 %",Navarra
75,Agosto 2019,"8,3 €/m2","+ 0,6 %","+ 5,3 %","+ 10,0 %",Navarra
76,Julio 2019,"8,2 €/m2","+ 1,6 %","+ 9,6 %","+ 9,6 %",Navarra
77,Junio 2019,"8,1 €/m2","+ 3,1 %","+ 6,8 %","+ 9,1 %",Navarra
78,Mayo 2019,"7,8 €/m2","+ 4,6 %","+ 3,1 %","+ 7,6 %",Navarra
79,Abril 2019,"7,5 €/m2","- 1,0 %","- 2,9 %","+ 4,3 %",Navarra
80,Marzo 2019,"7,6 €/m2","- 0,4 %","- 1,6 %","+ 5,1 %",Navarra
81,Febrero 2019,"7,6 €/m2","- 1,5 %","- 0,9 %","+ 7,4 %",Navarra
82,Enero 2019,"7,7 €/m2","+ 0,3 %","+ 0,3 %","+ 9,5 %",Navarra
83,Diciembre 2018,"7,7 €/m2","+ 0,3 %","+ 1,3 %","+ 10,1 %",Navarra
84,Noviembre 2018,"7,7 €/m2","- 0,3 %","+ 2,2 %","+ 9,2 %",Navarra
85,Octubre 2018,"7,7 €/m2","+ 1,3 %","+ 2,7 %","+ 8,9 %",Navarra
86,Septiembre 2018,"7,6 €/m2","+ 1,1 %","+ 2,6 %","+ 7,9 %",Navarra
87,Agosto 2018,"7,5 €/m2","+ 0,2 %","+ 3,0 %","+ 7,6 %",Navarra
88,Julio 2018,"7,5 €/m2","+ 1,2 %","+ 4,2 %","+ 9,1 %",Navarra
89,Junio 2018,"7,4 €/m2","+ 1,6 %","+ 2,9 %","+ 7,9 %",Navarra
90,Mayo 2018,"7,3 €/m2","+ 1,4 %","+ 2,9 %","+ 8,9 %",Navarra
91,Abril 2018,"7,2 €/m2","- 0,1 %","+ 1,9 %","+ 6,4 %",Navarra
92,Marzo 2018,"7,2 €/m2","+ 1,7 %","+ 3,0 %","+ 5,7 %",Navarra
93,Febrero 2018,"7,1 €/m2","+ 0,4 %","+ 0,8 %","+ 5,4 %",Navarra
94,Enero 2018,"7,1 €/m2","+ 0,9 %","- 0,1 %","+ 7,1 %",Navarra
95,Diciembre 2017,"7,0 €/m2","- 0,5 %","- 0,7 %","+ 6,7 %",Navarra
96,Noviembre 2017,"7,0 €/m2","- 0,6 %","+ 0,7 %","+ 7,4 %",Navarra
97,Octubre 2017,"7,1 €/m2","+ 0,3 %","+ 2,9 %","+ 6,3 %",Navarra
98,Septiembre 2017,"7,0 €/m2","+ 0,9 %","+ 2,6 %","+ 6,5 %",Navarra
99,Agosto 2017,"7,0 €/m2","+ 1,6 %","+ 4,2 %","+ 6,1 %",Navarra
100,Julio 2017,"6,9 €/m2","0,0 %","+ 1,6 %","+ 3,0 %",Navarra
101,Junio 2017,"6,9 €/m2","+ 2,6 %","+ 0,8 %","+ 2,9 %",Navarra
102,Mayo 2017,"6,7 €/m2","- 0,9 %","- 0,3 %","+ 1,6 %",Navarra
103,Abril 2017,"6,8 €/m2","- 0,8 %","+ 2,5 %","+ 3,7 %",Navarra
104,Marzo 2017,"6,8 €/m2","+ 1,4 %","+ 4,0 %","+ 4,0 %",Navarra
105,Febrero 2017,"6,7 €/m2","+ 1,9 %","+ 2,7 %","+ 3,9 %",Navarra
106,Enero 2017,"6,6 €/m2","+ 0,6 %","- 0,8 %","+ 3,1 %",Navarra
107,Diciembre 2016,"6,6 €/m2","+ 0,1 %","- 0,9 %","+ 3,3 %",Navarra
108,Noviembre 2016,"6,5 €/m2","- 1,5 %","- 0,5 %","+ 2,7 %",Navarra
109,Octubre 2016,"6,6 €/m2","+ 0,5 %","- 0,3 %","+ 3,8 %",Navarra
110,Septiembre 2016,"6,6 €/m2","+ 0,6 %","- 0,9 %","+ 3,7 %",Navarra
111,Agosto 2016,"6,6 €/m2","- 1,4 %","- 0,2 %","+ 2,6 %",Navarra
112,Julio 2016,"6,7 €/m2","- 0,1 %","+ 2,3 %","+ 4,1 %",Navarra
113,Junio 2016,"6,7 €/m2","+ 1,3 %","+ 1,9 %","+ 4,8 %",Navarra
114,Mayo 2016,"6,6 €/m2","+ 1,2 %","+ 2,0 %","+ 4,0 %",Navarra
115,Abril 2016,"6,5 €/m2","- 0,5 %","+ 1,9 %","+ 2,9 %",Navarra
116,Marzo 2016,"6,6 €/m2","+ 1,4 %","+ 3,3 %","+ 5,0 %",Navarra
117,Febrero 2016,"6,5 €/m2","+ 1,1 %","+ 1,5 %","+ 3,0 %",Navarra
118,Enero 2016,"6,4 €/m2","+ 0,8 %","- 0,2 %","+ 2,0 %",Navarra
119,Diciembre 2015,"6,3 €/m2","- 0,5 %","- 0,6 %","+ 1,3 %",Navarra
120,Noviembre 2015,"6,4 €/m2","- 0,5 %","- 0,6 %","+ 1,4 %",Navarra
121,Octubre 2015,"6,4 €/m2","+ 0,4 %","0,0 %","+ 1,1 %",Navarra
122,Septiembre 2015,"6,4 €/m2","- 0,5 %","+ 0,1 %","+ 0,6 %",Navarra
123,Agosto 2015,"6,4 €/m2","0,0 %","+ 1,0 %","+ 0,6 %",Navarra
124,Julio 2015,"6,4 €/m2","+ 0,6 %","+ 1,2 %","+ 0,2 %",Navarra
125,Junio 2015,"6,4 €/m2","+ 0,5 %","+ 2,2 %","+ 0,7 %",Navarra
126,Mayo 2015,"6,3 €/m2","+ 0,1 %","+ 1,1 %","+ 1,0 %",Navarra
127,Abril 2015,"6,3 €/m2","+ 1,6 %","+ 1,1 %","+ 0,9 %",Navarra
128,Marzo 2015,"6,2 €/m2","- 0,6 %","- 0,4 %","- 1,1 %",Navarra
129,Febrero 2015,"6,3 €/m2","+ 0,1 %","- 0,2 %","- 0,7 %",Navarra
130,Enero 2015,"6,3 €/m2","+ 0,1 %","- 1,1 %","- 0,9 %",Navarra
131,Diciembre 2014,"6,3 €/m2","- 0,4 %","- 1,2 %","- 0,9 %",Navarra
