Comunidad autónoma;Periodo;Total
Total Nacional;2024;7,8
Total Nacional;2023;8,2
Total Nacional;2022;9,2
Total Nacional;2021;9,9
Total Nacional;2020;8,2
Total Nacional;2019;8,5
Total Nacional;2018;8,9
Total Nacional;2017;9,8
Total Nacional;2016;10,1
Total Nacional;2015;10,3
Total Nacional;2014;10,9
Total Nacional;2013;10,3
Total Nacional;2012;10,7
Total Nacional;2011;10
Total Nacional;2010;9,7
Total Nacional;2009;10,3
Total Nacional;2008;9,4
01 Andalucía;2024;7,2
01 Andalucía;2023;8,7
01 Andalucía;2022;9,4
01 Andalucía;2021;10,1
01 Andalucía;2020;6
01 Andalucía;2019;8
01 Andalucía;2018;7,3
01 Andalucía;2017;8,2
01 Andalucía;2016;9,4
01 Andalucía;2015;8,8
01 Andalucía;2014;11,4
01 Andalucía;2013;9,2
01 Andalucía;2012;8,7
01 Andalucía;2011;11,2
01 Andalucía;2010;7,8
01 Andalucía;2009;8,6
01 Andalucía;2008;7,3
02 Aragón;2024;4
02 Aragón;2023;7,6
02 Aragón;2022;6,9
02 Aragón;2021;6,7
02 Aragón;2020;5,9
02 Aragón;2019;4,9
02 Aragón;2018;5,2
02 Aragón;2017;4,1
02 Aragón;2016;5
02 Aragón;2015;6,4
02 Aragón;2014;9,1
02 Aragón;2013;9,8
02 Aragón;2012;7,7
02 Aragón;2011;7,8
02 Aragón;2010;5,4
02 Aragón;2009;7,3
02 Aragón;2008;7,5
03 Asturias, Principado de;2024;4,9
03 Asturias, Principado de;2023;6,5
03 Asturias, Principado de;2022;10,4
03 Asturias, Principado de;2021;10,5
03 Asturias, Principado de;2020;9,7
03 Asturias, Principado de;2019;11,4
03 Asturias, Principado de;2018;6,8
03 Asturias, Principado de;2017;7,4
03 Asturias, Principado de;2016;6,5
03 Asturias, Principado de;2015;8,7
03 Asturias, Principado de;2014;7,2
03 Asturias, Principado de;2013;7,6
03 Asturias, Principado de;2012;5,7
03 Asturias, Principado de;2011;5,3
03 Asturias, Principado de;2010;3,8
03 Asturias, Principado de;2009;4,8
03 Asturias, Principado de;2008;3,7
04 Balears, Illes;2024;11
04 Balears, Illes;2023;14,5
04 Balears, Illes;2022;11,8
04 Balears, Illes;2021;17,8
04 Balears, Illes;2020;10,4
04 Balears, Illes;2019;11,7
04 Balears, Illes;2018;9,7
04 Balears, Illes;2017;16,8
04 Balears, Illes;2016;11,5
04 Balears, Illes;2015;20,5
04 Balears, Illes;2014;21,8
04 Balears, Illes;2013;19,5
04 Balears, Illes;2012;20,9
04 Balears, Illes;2011;20,1
04 Balears, Illes;2010;20,6
04 Balears, Illes;2009;18,5
04 Balears, Illes;2008;19,4
05 Canarias;2024;9,3
05 Canarias;2023;8,6
05 Canarias;2022;14,8
05 Canarias;2021;15
05 Canarias;2020;13,3
05 Canarias;2019;11,6
05 Canarias;2018;12,5
05 Canarias;2017;12,1
05 Canarias;2016;11,1
05 Canarias;2015;13
05 Canarias;2014;10,6
05 Canarias;2013;11,2
05 Canarias;2012;12,8
05 Canarias;2011;9,9
05 Canarias;2010;12,4
05 Canarias;2009;9,6
05 Canarias;2008;11
06 Cantabria;2024;6,8
06 Cantabria;2023;6,8
06 Cantabria;2022;6,8
06 Cantabria;2021;5,9
06 Cantabria;2020;5,7
06 Cantabria;2019;4,9
06 Cantabria;2018;9,6
06 Cantabria;2017;6,8
06 Cantabria;2016;10,1
06 Cantabria;2015;7,1
06 Cantabria;2014;8,2
06 Cantabria;2013;11,5
06 Cantabria;2012;12
06 Cantabria;2011;9
06 Cantabria;2010;9,1
06 Cantabria;2009;12
06 Cantabria;2008;10,6
07 Castilla y León;2024;5,7
07 Castilla y León;2023;6,9
07 Castilla y León;2022;6,9
07 Castilla y León;2021;6,7
07 Castilla y León;2020;4,3
07 Castilla y León;2019;3,9
07 Castilla y León;2018;4,4
07 Castilla y León;2017;5,6
07 Castilla y León;2016;5,8
07 Castilla y León;2015;8,6
07 Castilla y León;2014;9,4
07 Castilla y León;2013;7
07 Castilla y León;2012;6,9
07 Castilla y León;2011;4,7
07 Castilla y León;2010;5,5
07 Castilla y León;2009;5,8
07 Castilla y León;2008;3,9
08 Castilla - La Mancha;2024;7,2
08 Castilla - La Mancha;2023;6,7
08 Castilla - La Mancha;2022;5,9
08 Castilla - La Mancha;2021;7,8
08 Castilla - La Mancha;2020;6,9
08 Castilla - La Mancha;2019;7,4
08 Castilla - La Mancha;2018;10,2
08 Castilla - La Mancha;2017;10,1
08 Castilla - La Mancha;2016;11,7
08 Castilla - La Mancha;2015;8,1
08 Castilla - La Mancha;2014;9,6
08 Castilla - La Mancha;2013;10,7
08 Castilla - La Mancha;2012;13,1
08 Castilla - La Mancha;2011;9,5
08 Castilla - La Mancha;2010;7,4
08 Castilla - La Mancha;2009;6,7
08 Castilla - La Mancha;2008;5,6
09 Cataluña;2024;8,4
09 Cataluña;2023;9,6
09 Cataluña;2022;10,7
09 Cataluña;2021;10,4
09 Cataluña;2020;10,1
09 Cataluña;2019;10,3
09 Cataluña;2018;9,9
09 Cataluña;2017;10,7
09 Cataluña;2016;11,1
09 Cataluña;2015;11,6
09 Cataluña;2014;12,9
09 Cataluña;2013;11
09 Cataluña;2012;13,3
09 Cataluña;2011;12
09 Cataluña;2010;13,3
09 Cataluña;2009;14
09 Cataluña;2008;13,4
10 Comunitat Valenciana;2024;8,8
10 Comunitat Valenciana;2023;8,8
10 Comunitat Valenciana;2022;7,4
10 Comunitat Valenciana;2021;9,6
10 Comunitat Valenciana;2020;10,6
10 Comunitat Valenciana;2019;7
10 Comunitat Valenciana;2018;9,3
10 Comunitat Valenciana;2017;11,2
10 Comunitat Valenciana;2016;11,1
10 Comunitat Valenciana;2015;11,5
10 Comunitat Valenciana;2014;9,4
10 Comunitat Valenciana;2013;11
10 Comunitat Valenciana;2012;11,5
10 Comunitat Valenciana;2011;9,2
10 Comunitat Valenciana;2010;9,1
10 Comunitat Valenciana;2009;12,1
10 Comunitat Valenciana;2008;12
11 Extremadura;2024;4,6
11 Extremadura;2023;4,7
11 Extremadura;2022;4,4
11 Extremadura;2021;5,6
11 Extremadura;2020;3,7
11 Extremadura;2019;6,4
