,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
0,Noviembre 2025,1.699 €/m2,"+ 1,5 %","+ 5,4 %","+ 16,8 %",Asturias
1,Octubre 2025,1.674 €/m2,"+ 2,3 %","+ 5,5 %","+ 15,1 %",Asturias
2,Septiembre 2025,1.635 €/m2,"+ 1,5 %","+ 3,9 %","+ 13,6 %",Asturias
3,Agosto 2025,1.612 €/m2,"+ 1,6 %","+ 4,8 %","+ 14,0 %",Asturias
4,Julio 2025,1.586 €/m2,"+ 0,8 %","+ 4,9 %","+ 13,5 %",Asturias
5,Junio 2025,1.574 €/m2,"+ 2,4 %","+ 5,5 %","+ 12,7 %",Asturias
6,Mayo 2025,1.538 €/m2,"+ 1,7 %","+ 5,4 %","+ 10,9 %",Asturias
7,Abril 2025,1.512 €/m2,"+ 1,3 %","+ 5,2 %","+ 9,4 %",Asturias
8,Marzo 2025,1.492 €/m2,"+ 2,3 %","+ 1,5 %","+ 8,5 %",Asturias
9,Febrero 2025,1.459 €/m2,"+ 1,4 %","+ 0,3 %","+ 6,5 %",Asturias
10,Enero 2025,1.438 €/m2,"- 2,2 %","- 1,1 %","+ 4,9 %",Asturias
11,Diciembre 2024,1.471 €/m2,"+ 1,1 %","+ 2,2 %","+ 7,3 %",Asturias
12,Noviembre 2024,1.454 €/m2,"0,0 %","+ 2,9 %","+ 5,9 %",Asturias
13,Octubre 2024,1.455 €/m2,"+ 1,1 %","+ 4,1 %","+ 6,3 %",Asturias
14,Septiembre 2024,1.439 €/m2,"+ 1,8 %","+ 3,1 %","+ 5,6 %",Asturias
15,Agosto 2024,1.413 €/m2,"+ 1,1 %","+ 1,9 %","+ 2,8 %",Asturias
16,Julio 2024,1.397 €/m2,"+ 0,1 %","+ 1,1 %","+ 2,7 %",Asturias
17,Junio 2024,1.396 €/m2,"+ 0,7 %","+ 1,5 %","+ 3,2 %",Asturias
18,Mayo 2024,1.387 €/m2,"+ 0,4 %","+ 1,3 %","+ 3,0 %",Asturias
19,Abril 2024,1.382 €/m2,"+ 0,5 %","+ 0,8 %","+ 2,9 %",Asturias
20,Marzo 2024,1.375 €/m2,"+ 0,4 %","+ 0,3 %","+ 1,9 %",Asturias
21,Febrero 2024,1.369 €/m2,"- 0,1 %","- 0,3 %","+ 1,5 %",Asturias
22,Enero 2024,1.370 €/m2,"- 0,1 %","+ 0,2 %","+ 2,2 %",Asturias
23,Diciembre 2023,1.371 €/m2,"- 0,2 %","+ 0,6 %","+ 2,1 %",Asturias
24,Noviembre 2023,1.374 €/m2,"+ 0,4 %","0,0 %","+ 2,1 %",Asturias
25,Octubre 2023,1.368 €/m2,"+ 0,4 %","+ 0,5 %","+ 1,2 %",Asturias
26,Septiembre 2023,1.363 €/m2,"- 0,8 %","+ 0,8 %","+ 1,6 %",Asturias
27,Agosto 2023,1.374 €/m2,"+ 1,0 %","+ 2,0 %","+ 3,0 %",Asturias
28,Julio 2023,1.361 €/m2,"+ 0,6 %","+ 1,3 %","+ 1,9 %",Asturias
29,Junio 2023,1.352 €/m2,"+ 0,4 %","+ 0,3 %","+ 1,4 %",Asturias
30,Mayo 2023,1.347 €/m2,"+ 0,3 %","- 0,2 %","+ 0,5 %",Asturias
31,Abril 2023,1.343 €/m2,"- 0,5 %","+ 0,2 %","- 0,1 %",Asturias
32,Marzo 2023,1.349 €/m2,"0,0 %","+ 0,5 %","+ 0,3 %",Asturias
33,Febrero 2023,1.349 €/m2,"+ 0,6 %","+ 0,2 %","+ 1,0 %",Asturias
34,Enero 2023,1.340 €/m2,"- 0,2 %","- 0,8 %","+ 0,5 %",Asturias
35,Diciembre 2022,1.343 €/m2,"- 0,2 %","+ 0,1 %","+ 0,5 %",Asturias
36,Noviembre 2022,1.346 €/m2,"- 0,4 %","+ 0,8 %","+ 0,6 %",Asturias
37,Octubre 2022,1.351 €/m2,"+ 0,7 %","+ 1,2 %","+ 1,2 %",Asturias
38,Septiembre 2022,1.342 €/m2,"+ 0,5 %","+ 0,6 %","+ 1,2 %",Asturias
39,Agosto 2022,1.335 €/m2,"0,0 %","- 0,4 %","- 0,1 %",Asturias
40,Julio 2022,1.335 €/m2,"+ 0,1 %","- 0,6 %","- 0,6 %",Asturias
41,Junio 2022,1.333 €/m2,"- 0,5 %","- 0,9 %","- 1,0 %",Asturias
42,Mayo 2022,1.340 €/m2,"- 0,2 %","+ 0,4 %","+ 0,1 %",Asturias
43,Abril 2022,1.343 €/m2,"- 0,1 %","+ 0,7 %","+ 0,2 %",Asturias
44,Marzo 2022,1.345 €/m2,"+ 0,7 %","+ 0,7 %","+ 0,1 %",Asturias
45,Febrero 2022,1.335 €/m2,"+ 0,1 %","- 0,2 %","- 0,5 %",Asturias
46,Enero 2022,1.333 €/m2,"- 0,2 %","- 0,1 %","- 1,1 %",Asturias
47,Diciembre 2021,1.336 €/m2,"- 0,1 %","+ 0,8 %","- 0,8 %",Asturias
48,Noviembre 2021,1.338 €/m2,"+ 0,2 %","+ 0,2 %","- 0,7 %",Asturias
49,Octubre 2021,1.335 €/m2,"+ 0,7 %","- 0,6 %","- 0,8 %",Asturias
50,Septiembre 2021,1.326 €/m2,"- 0,7 %","- 1,6 %","- 1,9 %",Asturias
51,Agosto 2021,1.335 €/m2,"- 0,5 %","- 0,3 %","- 0,7 %",Asturias
52,Julio 2021,1.343 €/m2,"- 0,3 %","+ 0,1 %","+ 0,3 %",Asturias
