,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
0,Noviembre 2025,2.739 €/m2,"+ 2,2 %","+ 2,8 %","+ 10,7 %",Cataluña
1,Octubre 2025,2.680 €/m2,"+ 1,3 %","+ 1,8 %","+ 9,7 %",Cataluña
2,Septiembre 2025,2.647 €/m2,"- 0,7 %","+ 2,0 %","+ 8,8 %",Cataluña
3,Agosto 2025,2.665 €/m2,"+ 1,3 %","+ 4,1 %","+ 9,7 %",Cataluña
4,Julio 2025,2.632 €/m2,"+ 1,4 %","+ 3,9 %","+ 9,8 %",Cataluña
5,Junio 2025,2.596 €/m2,"+ 1,4 %","+ 4,1 %","+ 8,3 %",Cataluña
6,Mayo 2025,2.560 €/m2,"+ 1,0 %","+ 4,4 %","+ 6,5 %",Cataluña
7,Abril 2025,2.534 €/m2,"+ 1,6 %","+ 4,3 %","+ 6,5 %",Cataluña
8,Marzo 2025,2.493 €/m2,"+ 1,7 %","- 0,1 %","+ 6,0 %",Cataluña
9,Febrero 2025,2.451 €/m2,"+ 0,9 %","- 0,9 %","+ 4,8 %",Cataluña
10,Enero 2025,2.430 €/m2,"- 2,6 %","- 0,5 %","+ 3,7 %",Cataluña
11,Diciembre 2024,2.495 €/m2,"+ 0,8 %","+ 2,6 %","+ 6,7 %",Cataluña
12,Noviembre 2024,2.474 €/m2,"+ 1,3 %","+ 1,8 %","+ 6,1 %",Cataluña
13,Octubre 2024,2.443 €/m2,"+ 0,4 %","+ 1,9 %","+ 4,9 %",Cataluña
14,Septiembre 2024,2.432 €/m2,"+ 0,1 %","+ 1,5 %","+ 4,2 %",Cataluña
15,Agosto 2024,2.430 €/m2,"+ 1,4 %","+ 1,1 %","+ 3,6 %",Cataluña
16,Julio 2024,2.397 €/m2,"0,0 %","+ 0,8 %","+ 1,9 %",Cataluña
17,Junio 2024,2.397 €/m2,"- 0,3 %","+ 1,9 %","+ 1,5 %",Cataluña
18,Mayo 2024,2.403 €/m2,"+ 1,1 %","+ 2,8 %","+ 2,1 %",Cataluña
19,Abril 2024,2.378 €/m2,"+ 1,1 %","+ 1,5 %","+ 1,5 %",Cataluña
20,Marzo 2024,2.352 €/m2,"+ 0,6 %","+ 0,6 %","+ 1,0 %",Cataluña
21,Febrero 2024,2.338 €/m2,"- 0,2 %","+ 0,3 %","+ 1,3 %",Cataluña
22,Enero 2024,2.344 €/m2,"+ 0,2 %","+ 0,6 %","+ 2,2 %",Cataluña
23,Diciembre 2023,2.339 €/m2,"+ 0,3 %","+ 0,2 %","+ 1,9 %",Cataluña
24,Noviembre 2023,2.331 €/m2,"+ 0,1 %","- 0,6 %","+ 1,4 %",Cataluña
25,Octubre 2023,2.329 €/m2,"- 0,2 %","- 1,0 %","+ 1,5 %",Cataluña
26,Septiembre 2023,2.333 €/m2,"- 0,5 %","- 1,2 %","+ 2,0 %",Cataluña
27,Agosto 2023,2.345 €/m2,"- 0,4 %","- 0,4 %","+ 1,8 %",Cataluña
28,Julio 2023,2.353 €/m2,"- 0,4 %","+ 0,5 %","+ 2,1 %",Cataluña
29,Junio 2023,2.362 €/m2,"+ 0,3 %","+ 1,5 %","+ 3,3 %",Cataluña
30,Mayo 2023,2.354 €/m2,"+ 0,5 %","+ 2,0 %","+ 2,8 %",Cataluña
31,Abril 2023,2.342 €/m2,"+ 0,6 %","+ 2,1 %","+ 2,4 %",Cataluña
32,Marzo 2023,2.328 €/m2,"+ 0,9 %","+ 1,5 %","+ 2,4 %",Cataluña
33,Febrero 2023,2.309 €/m2,"+ 0,7 %","+ 0,4 %","+ 1,5 %",Cataluña
34,Enero 2023,2.293 €/m2,"- 0,1 %","0,0 %","+ 0,5 %",Cataluña
