,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
0,Noviembre 2025,4.491 €/m2,"+ 2,2 %","+ 2,4 %","+ 21,0 %",Madrid
1,Octubre 2025,4.395 €/m2,"+ 1,2 %","+ 0,8 %","+ 20,8 %",Madrid
2,Septiembre 2025,4.343 €/m2,"- 0,9 %","+ 1,2 %","+ 21,7 %",Madrid
3,Agosto 2025,4.384 €/m2,"+ 0,6 %","+ 3,5 %","+ 23,3 %",Madrid
4,Julio 2025,4.359 €/m2,"+ 1,6 %","+ 5,1 %","+ 24,4 %",Madrid
5,Junio 2025,4.289 €/m2,"+ 1,3 %","+ 6,9 %","+ 24,7 %",Madrid
6,Mayo 2025,4.234 €/m2,"+ 2,1 %","+ 7,2 %","+ 24,3 %",Madrid
7,Abril 2025,4.148 €/m2,"+ 3,4 %","+ 7,7 %","+ 23,2 %",Madrid
8,Marzo 2025,4.013 €/m2,"+ 1,6 %","+ 6,4 %","+ 20,5 %",Madrid
9,Febrero 2025,3.949 €/m2,"+ 2,5 %","+ 6,4 %","+ 19,9 %",Madrid
10,Enero 2025,3.851 €/m2,"+ 2,1 %","+ 5,8 %","+ 18,6 %",Madrid
11,Diciembre 2024,3.771 €/m2,"+ 1,6 %","+ 5,7 %","+ 17,5 %",Madrid
12,Noviembre 2024,3.712 €/m2,"+ 2,0 %","+ 4,4 %","+ 17,1 %",Madrid
13,Octubre 2024,3.638 €/m2,"+ 1,9 %","+ 3,8 %","+ 15,4 %",Madrid
14,Septiembre 2024,3.569 €/m2,"+ 0,4 %","+ 3,7 %","+ 14,1 %",Madrid
15,Agosto 2024,3.554 €/m2,"+ 1,4 %","+ 4,4 %","+ 13,2 %",Madrid
16,Julio 2024,3.504 €/m2,"+ 1,8 %","+ 4,1 %","+ 11,5 %",Madrid
17,Junio 2024,3.440 €/m2,"+ 1,0 %","+ 3,3 %","+ 9,5 %",Madrid
18,Mayo 2024,3.406 €/m2,"+ 1,1 %","+ 3,4 %","+ 9,0 %",Madrid
19,Abril 2024,3.367 €/m2,"+ 1,1 %","+ 3,7 %","+ 7,4 %",Madrid
20,Marzo 2024,3.331 €/m2,"+ 1,2 %","+ 3,8 %","+ 7,1 %",Madrid
21,Febrero 2024,3.292 €/m2,"+ 1,4 %","+ 3,8 %","+ 6,8 %",Madrid
22,Enero 2024,3.247 €/m2,"+ 1,2 %","+ 3,0 %","+ 6,1 %",Madrid
23,Diciembre 2023,3.208 €/m2,"+ 1,2 %","+ 2,5 %","+ 4,8 %",Madrid
24,Noviembre 2023,3.170 €/m2,"+ 0,6 %","+ 1,0 %","+ 3,1 %",Madrid
25,Octubre 2023,3.152 €/m2,"+ 0,7 %","+ 0,3 %","+ 3,1 %",Madrid
26,Septiembre 2023,3.129 €/m2,"- 0,3 %","- 0,4 %","+ 2,8 %",Madrid
27,Agosto 2023,3.139 €/m2,"- 0,1 %","+ 0,5 %","+ 2,9 %",Madrid
28,Julio 2023,3.143 €/m2,"0,0 %","+ 0,3 %","+ 3,7 %",Madrid
29,Junio 2023,3.142 €/m2,"+ 0,6 %","+ 1,0 %","+ 4,3 %",Madrid
30,Mayo 2023,3.124 €/m2,"- 0,3 %","+ 1,3 %","+ 4,3 %",Madrid
31,Abril 2023,3.134 €/m2,"+ 0,7 %","+ 2,4 %","+ 5,5 %",Madrid
32,Marzo 2023,3.111 €/m2,"+ 0,9 %","+ 1,6 %","+ 5,3 %",Madrid
33,Febrero 2023,3.083 €/m2,"+ 0,7 %","+ 0,3 %","+ 4,6 %",Madrid
34,Enero 2023,3.061 €/m2,"0,0 %","+ 0,1 %","+ 4,7 %",Madrid
35,Diciembre 2022,3.062 €/m2,"- 0,4 %","+ 0,6 %","+ 5,7 %",Madrid
36,Noviembre 2022,3.075 €/m2,"+ 0,6 %","+ 0,8 %","+ 6,9 %",Madrid
37,Octubre 2022,3.057 €/m2,"+ 0,5 %","+ 0,8 %","+ 6,5 %",Madrid
38,Septiembre 2022,3.043 €/m2,"- 0,3 %","+ 1,0 %","+ 5,7 %",Madrid
39,Agosto 2022,3.052 €/m2,"+ 0,7 %","+ 1,9 %","+ 5,8 %",Madrid
40,Julio 2022,3.032 €/m2,"+ 0,6 %","+ 2,0 %","+ 4,8 %",Madrid
41,Junio 2022,3.013 €/m2,"+ 0,6 %","+ 2,0 %","+ 4,4 %",Madrid
42,Mayo 2022,2.996 €/m2,"+ 0,8 %","+ 1,6 %","+ 4,9 %",Madrid
43,Abril 2022,2.971 €/m2,"+ 0,6 %","+ 1,7 %","+ 5,1 %",Madrid
44,Marzo 2022,2.954 €/m2,"+ 0,2 %","+ 1,9 %","+ 4,6 %",Madrid
45,Febrero 2022,2.948 €/m2,"+ 0,9 %","+ 2,4 %","+ 5,0 %",Madrid
46,Enero 2022,2.922 €/m2,"+ 0,9 %","+ 1,8 %","+ 4,9 %",Madrid
47,Diciembre 2021,2.897 €/m2,"+ 0,7 %","+ 0,6 %","+ 4,4 %",Madrid
48,Noviembre 2021,2.878 €/m2,"+ 0,3 %","- 0,2 %","+ 4,4 %",Madrid
49,Octubre 2021,2.871 €/m2,"- 0,3 %","- 0,8 %","+ 5,3 %",Madrid
50,Septiembre 2021,2.880 €/m2,"- 0,1 %","- 0,2 %","+ 6,1 %",Madrid
51,Agosto 2021,2.883 €/m2,"- 0,4 %","+ 1,0 %","+ 6,0 %",Madrid
