Comunidad autónoma;Periodo;Total
Total Nacional;2024;71,4
Total Nacional;2023;72,6
Total Nacional;2022;70,4
Total Nacional;2021;71,4
Total Nacional;2018;74,7
Total Nacional;2013;63,6
01 Andalucía;2024;66,7
01 Andalucía;2023;70,6
01 Andalucía;2022;67,3
01 Andalucía;2021;68,3
01 Andalucía;2018;62,9
01 Andalucía;2013;58,7
02 Aragón;2024;72,8
02 Aragón;2023;76,4
02 Aragón;2022;74,9
02 Aragón;2021;74,8
02 Aragón;2018;86,1
02 Aragón;2013;71,0
03 Asturias, Principado de;2024;70,7
03 Asturias, Principado de;2023;71,4
03 Asturias, Principado de;2022;71,8
03 Asturias, Principado de;2021;68,4
03 Asturias, Principado de;2018;72,6
03 Asturias, Principado de;2013;68,4
04 Balears, Illes;2024;79,0
04 Balears, Illes;2023;74,1
04 Balears, Illes;2022;72,9
04 Balears, Illes;2021;72,9
04 Balears, Illes;2018;89,7
04 Balears, Illes;2013;72,7
05 Canarias;2024;70,0
05 Canarias;2023;70,1
05 Canarias;2022;66,6
05 Canarias;2021;69,7
05 Canarias;2018;78,9
05 Canarias;2013;61,8
06 Cantabria;2024;71,0
06 Cantabria;2023;71,5
06 Cantabria;2022;68,6
06 Cantabria;2021;68,1
06 Cantabria;2018;77,2
06 Cantabria;2013;63,3
07 Castilla y León;2024;71,8
07 Castilla y León;2023;71,3
07 Castilla y León;2022;70,5
07 Castilla y León;2021;72,1
07 Castilla y León;2018;75,5
07 Castilla y León;2013;50,1
08 Castilla - La Mancha;2024;67,8
08 Castilla - La Mancha;2023;71,9
08 Castilla - La Mancha;2022;66,9
08 Castilla - La Mancha;2021;69,1
08 Castilla - La Mancha;2018;75,5
08 Castilla - La Mancha;2013;66,7
09 Cataluña;2024;71,5
09 Cataluña;2023;74,0
09 Cataluña;2022;71,7
09 Cataluña;2021;74,4
09 Cataluña;2018;80,3
09 Cataluña;2013;67,1
10 Comunitat Valenciana;2024;73,4
10 Comunitat Valenciana;2023;73,6
10 Comunitat Valenciana;2022;71,1
10 Comunitat Valenciana;2021;71,9
10 Comunitat Valenciana;2018;77,9
10 Comunitat Valenciana;2013;69,5
11 Extremadura;2024;74,0
11 Extremadura;2023;74,7
11 Extremadura;2022;68,0
11 Extremadura;2021;75,2
11 Extremadura;2018;83,8
11 Extremadura;2013;59,1
12 Galicia;2024;69,2
12 Galicia;2023;67,3
12 Galicia;2022;64,8
12 Galicia;2021;69,0
12 Galicia;2018;64,4
12 Galicia;2013;45,3
13 Madrid, Comunidad de;2024;73,9
13 Madrid, Comunidad de;2023;73,0
13 Madrid, Comunidad de;2022;73,2
13 Madrid, Comunidad de;2021;73,1
13 Madrid, Comunidad de;2018;77,1
13 Madrid, Comunidad de;2013;67,2
14 Murcia, Región de;2024;70,5
14 Murcia, Región de;2023;73,3
14 Murcia, Región de;2022;70,0
14 Murcia, Región de;2021;66,4
14 Murcia, Región de;2018;66,9
14 Murcia, Región de;2013;67,3
15 Navarra, Comunidad Foral de;2024;79,1
15 Navarra, Comunidad Foral de;2023;80,0
15 Navarra, Comunidad Foral de;2022;77,9
15 Navarra, Comunidad Foral de;2021;78,6
15 Navarra, Comunidad Foral de;2018;82,0
15 Navarra, Comunidad Foral de;2013;75,8
16 País Vasco;2024;75,6
16 País Vasco;2023;75,8
16 País Vasco;2022;76,1
16 País Vasco;2021;73,4
16 País Vasco;2018;77,0
16 País Vasco;2013;68,7
17 Rioja, La;2024;73,2
17 Rioja, La;2023;73,7
17 Rioja, La;2022;75,8
17 Rioja, La;2021;74,0
17 Rioja, La;2018;78,5
17 Rioja, La;2013;66,8
18 Ceuta;2024;70,4
18 Ceuta;2023;72,7
18 Ceuta;2022;68,7
18 Ceuta;2021;64,0
18 Ceuta;2018;58,9
18 Ceuta;2013;65,3
19 Melilla;2024;79,0
19 Melilla;2023;73,7
19 Melilla;2022;77,2
19 Melilla;2021;71,4
19 Melilla;2018;86,1
19 Melilla;2013;71,3
